ID,triple1,triple2,question,answer,inferred triple,label,LLM output
93,B P A.,P is an equivalent property of W.,"Given the previous statements, does B have a relation with A through W?",Yes,B has a relation with A through W.,True,Yes
636,I R M.,R is an equivalent property of P.,"Given the previous statements, does I have a relation with M through P?",Yes,I has a relation with M through P.,True,Yes
775,J W R.,W is an equivalent property of T.,"Given the previous statements, does J have a relation with R through T?",Yes,J has a relation with R through T.,True,Yes
1317,E U A.,U is an equivalent property of B.,"Given the previous statements, does E have a relation with A through Q?",No,E does not have relation with A through Q.,False,Yes
1777,K Z D.,Z is an equivalent property of V.,"Given the previous statements, does K have a relation with D through F?",No,K does not have relation with D through F.,False,Yes
1018,A L X.,L is an equivalent property of Z.,"Given the previous statements, does A have a relation with X through C?",No,A does not have relation with X through C.,False,Yes
1281,E X Y.,X is an equivalent property of M.,"Given the previous statements, does E have a relation with Y through C?",No,E does not have relation with Y through C.,False,Yes
310,D M A.,M is an equivalent property of N.,"Given the previous statements, does D have a relation with A through N?",Yes,D has a relation with A through N.,True,Yes
69,A Q K.,Q is an equivalent property of E.,"Given the previous statements, does A have a relation with K through E?",Yes,A has a relation with K through E.,True,Yes
951,A G J.,G is an equivalent property of Y.,"Given the previous statements, does A have a relation with J through U?",No,A does not have relation with J through U.,False,Yes
540,G X T.,X is an equivalent property of H.,"Given the previous statements, does G have a relation with T through H?",Yes,G has a relation with T through H.,True,Yes
1159,C T L.,T is an equivalent property of H.,"Given the previous statements, does C have a relation with L through J?",No,C does not have relation with L through J.,False,Yes
1766,K J W.,J is an equivalent property of L.,"Given the previous statements, does K have a relation with W through Q?",No,K does not have relation with W through Q.,False,Yes
258,D J O.,J is an equivalent property of Q.,"Given the previous statements, does D have a relation with O through Q?",Yes,D has a relation with O through Q.,True,Yes
1697,J S F.,S is an equivalent property of Z.,"Given the previous statements, does J have a relation with F through D?",No,J does not have relation with F through D.,False,Yes
1738,J V D.,V is an equivalent property of K.,"Given the previous statements, does J have a relation with D through S?",No,J does not have relation with D through S.,False,Yes
1315,E V B.,V is an equivalent property of L.,"Given the previous statements, does E have a relation with B through A?",No,E does not have relation with B through A.,False,Yes
1778,K D Q.,D is an equivalent property of F.,"Given the previous statements, does K have a relation with Q through U?",No,K does not have relation with Q through U.,False,Yes
1662,J Y F.,Y is an equivalent property of D.,"Given the previous statements, does J have a relation with F through I?",No,J does not have relation with F through I.,False,Yes
1398,F Q S.,Q is an equivalent property of Z.,"Given the previous statements, does F have a relation with S through A?",No,F does not have relation with S through A.,False,Yes
914,L E Q.,E is an equivalent property of T.,"Given the previous statements, does L have a relation with Q through T?",Yes,L has a relation with Q through T.,True,Yes
279,D A P.,A is an equivalent property of R.,"Given the previous statements, does D have a relation with P through R?",Yes,D has a relation with P through R.,True,Yes
1481,G X P.,X is an equivalent property of O.,"Given the previous statements, does G have a relation with P through W?",No,G does not have relation with P through W.,False,Yes
1820,L O P.,O is an equivalent property of J.,"Given the previous statements, does L have a relation with P through I?",No,L does not have relation with P through I.,False,L
144,B X I.,X is an equivalent property of F.,"Given the previous statements, does B have a relation with I through F?",Yes,B has a relation with I through F.,True,Yes
1500,G Y J.,Y is an equivalent property of C.,"Given the previous statements, does G have a relation with J through P?",No,G does not have relation with J through P.,False,Yes
879,L S C.,S is an equivalent property of B.,"Given the previous statements, does L have a relation with C through B?",Yes,L has a relation with C through B.,True,Yes
1731,J Z F.,Z is an equivalent property of T.,"Given the previous statements, does J have a relation with F through A?",No,J does not have relation with F through A.,False,Yes
1560,H U P.,U is an equivalent property of A.,"Given the previous statements, does H have a relation with P through E?",No,H does not have relation with P through E.,False,H
734,J K I.,K is an equivalent property of E.,"Given the previous statements, does J have a relation with I through E?",Yes,J has a relation with I through E.,True,Yes
1617,I L W.,L is an equivalent property of P.,"Given the previous statements, does I have a relation with W through X?",No,I does not have relation with W through X.,False,Yes
106,B C W.,C is an equivalent property of A.,"Given the previous statements, does B have a relation with W through A?",Yes,B has a relation with W through A.,True,Yes
1272,E X N.,X is an equivalent property of D.,"Given the previous statements, does E have a relation with N through Z?",No,E does not have relation with N through Z.,False,Yes
113,B H K.,H is an equivalent property of T.,"Given the previous statements, does B have a relation with K through T?",Yes,B has a relation with K through T.,True,Yes
633,I S F.,S is an equivalent property of H.,"Given the previous statements, does I have a relation with F through H?",Yes,I has a relation with F through H.,True,Yes
94,B Q V.,Q is an equivalent property of J.,"Given the previous statements, does B have a relation with V through J?",Yes,B has a relation with V through J.,True,Yes
1663,J T W.,T is an equivalent property of A.,"Given the previous statements, does J have a relation with W through V?",No,J does not have relation with W through V.,False,Yes
920,L Y C.,Y is an equivalent property of B.,"Given the previous statements, does L have a relation with C through B?",Yes,L has a relation with C through B.,True,Yes
1035,B U V.,U is an equivalent property of M.,"Given the previous statements, does B have a relation with V through G?",No,B does not have relation with V through G.,False,Yes
1529,H J W.,J is an equivalent property of E.,"Given the previous statements, does H have a relation with W through A?",No,H does not have relation with W through A.,False,Yes
1784,K N Z.,N is an equivalent property of F.,"Given the previous statements, does K have a relation with Z through X?",No,K does not have relation with Z through X.,False,Yes
179,C B F.,B is an equivalent property of O.,"Given the previous statements, does C have a relation with F through O?",Yes,C has a relation with F through O.,True,Yes
826,K J Z.,J is an equivalent property of R.,"Given the previous statements, does K have a relation with Z through R?",Yes,K has a relation with Z through R.,True,Yes
1574,H N G.,N is an equivalent property of T.,"Given the previous statements, does H have a relation with G through F?",No,H does not have relation with G through F.,False,Yes
972,A L Z.,L is an equivalent property of Q.,"Given the previous statements, does A have a relation with Z through P?",No,A does not have relation with Z through P.,False,Yes
650,I S V.,S is an equivalent property of D.,"Given the previous statements, does I have a relation with V through D?",Yes,I has a relation with V through D.,True,Yes
1531,H O F.,O is an equivalent property of V.,"Given the previous statements, does H have a relation with F through S?",No,H does not have relation with F through S.,False,Yes
1647,I T Z.,T is an equivalent property of Y.,"Given the previous statements, does I have a relation with Z through S?",No,I does not have relation with Z through S.,False,Yes
1521,H G M.,G is an equivalent property of P.,"Given the previous statements, does H have a relation with M through Q?",No,H does not have relation with M through Q.,False,H
847,K L O.,L is an equivalent property of A.,"Given the previous statements, does K have a relation with O through A?",Yes,K has a relation with O through A.,True,Yes
748,J V T.,V is an equivalent property of G.,"Given the previous statements, does J have a relation with T through G?",Yes,J has a relation with T through G.,True,Yes
111,B X D.,X is an equivalent property of F.,"Given the previous statements, does B have a relation with D through F?",Yes,B has a relation with D through F.,True,Yes
1770,K N R.,N is an equivalent property of C.,"Given the previous statements, does K have a relation with R through A?",No,K does not have relation with R through A.,False,Yes
1134,C H F.,H is an equivalent property of L.,"Given the previous statements, does C have a relation with F through V?",No,C does not have relation with F through V.,False,Yes
1044,B P J.,P is an equivalent property of I.,"Given the previous statements, does B have a relation with J through F?",No,B does not have relation with J through F.,False,Yes
717,J A O.,A is an equivalent property of B.,"Given the previous statements, does J have a relation with O through B?",Yes,J has a relation with O through B.,True,Yes
168,C K D.,K is an equivalent property of O.,"Given the previous statements, does C have a relation with D through O?",Yes,C has a relation with D through O.,True,Yes
1251,D U K.,U is an equivalent property of A.,"Given the previous statements, does D have a relation with K through Q?",No,D does not have relation with K through Q.,False,Yes
1744,K I R.,I is an equivalent property of Q.,"Given the previous statements, does K have a relation with R through H?",No,K does not have relation with R through H.,False,Yes
927,L O B.,O is an equivalent property of T.,"Given the previous statements, does L have a relation with B through T?",Yes,L has a relation with B through T.,True,Yes
562,H Y A.,Y is an equivalent property of S.,"Given the previous statements, does H have a relation with A through S?",Yes,H has a relation with A through S.,True,Yes
1855,L Y X.,Y is an equivalent property of Q.,"Given the previous statements, does L have a relation with X through V?",No,L does not have relation with X through V.,False,No
1070,B N T.,N is an equivalent property of K.,"Given the previous statements, does B have a relation with T through Z?",No,B does not have relation with T through Z.,False,Yes
37,A R F.,R is an equivalent property of L.,"Given the previous statements, does A have a relation with F through L?",Yes,A has a relation with F through L.,True,Yes
1311,E X K.,X is an equivalent property of G.,"Given the previous statements, does E have a relation with K through F?",No,E does not have relation with K through F.,False,Yes
320,E X U.,X is an equivalent property of J.,"Given the previous statements, does E have a relation with U through J?",Yes,E has a relation with U through J.,True,Yes
