ID,triple1,triple2,question,answer,inferred triple,label
1,A is a T.,T is a subclass of F.,"Given the previous statements, is A a F?",Yes,A is a F.,True
2,A is a X.,X is a subclass of O.,"Given the previous statements, is A a O?",Yes,A is a O.,True
3,A is a D.,D is a subclass of R.,"Given the previous statements, is A a R?",Yes,A is a R.,True
4,A is a N.,N is a subclass of V.,"Given the previous statements, is A a V?",Yes,A is a V.,True
5,A is a F.,F is a subclass of I.,"Given the previous statements, is A a I?",Yes,A is a I.,True
6,A is a T.,T is a subclass of S.,"Given the previous statements, is A a S?",Yes,A is a S.,True
7,A is a X.,X is a subclass of I.,"Given the previous statements, is A a I?",Yes,A is a I.,True
8,A is a V.,V is a subclass of I.,"Given the previous statements, is A a I?",Yes,A is a I.,True
9,A is a M.,M is a subclass of U.,"Given the previous statements, is A a U?",Yes,A is a U.,True
10,A is a Y.,Y is a subclass of D.,"Given the previous statements, is A a D?",Yes,A is a D.,True
11,A is a D.,D is a subclass of E.,"Given the previous statements, is A a E?",Yes,A is a E.,True
12,A is a H.,H is a subclass of Y.,"Given the previous statements, is A a Y?",Yes,A is a Y.,True
13,A is a C.,C is a subclass of U.,"Given the previous statements, is A a U?",Yes,A is a U.,True
14,A is a S.,S is a subclass of Y.,"Given the previous statements, is A a Y?",Yes,A is a Y.,True
15,A is a Z.,Z is a subclass of O.,"Given the previous statements, is A a O?",Yes,A is a O.,True
16,A is a G.,G is a subclass of K.,"Given the previous statements, is A a K?",Yes,A is a K.,True
17,A is a G.,G is a subclass of M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
18,A is a U.,U is a subclass of X.,"Given the previous statements, is A a X?",Yes,A is a X.,True
19,A is a H.,H is a subclass of P.,"Given the previous statements, is A a P?",Yes,A is a P.,True
20,A is a N.,N is a subclass of M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
21,A is a K.,K is a subclass of X.,"Given the previous statements, is A a X?",Yes,A is a X.,True
22,A is a Y.,Y is a subclass of I.,"Given the previous statements, is A a I?",Yes,A is a I.,True
23,A is a B.,B is a subclass of Q.,"Given the previous statements, is A a Q?",Yes,A is a Q.,True
24,A is a R.,R is a subclass of M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
25,A is a I.,I is a subclass of U.,"Given the previous statements, is A a U?",Yes,A is a U.,True
26,A is a P.,P is a subclass of Q.,"Given the previous statements, is A a Q?",Yes,A is a Q.,True
27,A is a X.,X is a subclass of N.,"Given the previous statements, is A a N?",Yes,A is a N.,True
28,A is a N.,N is a subclass of W.,"Given the previous statements, is A a W?",Yes,A is a W.,True
29,A is a V.,V is a subclass of D.,"Given the previous statements, is A a D?",Yes,A is a D.,True
30,A is a U.,U is a subclass of P.,"Given the previous statements, is A a P?",Yes,A is a P.,True
31,A is a C.,C is a subclass of J.,"Given the previous statements, is A a J?",Yes,A is a J.,True
32,A is a L.,L is a subclass of N.,"Given the previous statements, is A a N?",Yes,A is a N.,True
33,A is a T.,T is a subclass of I.,"Given the previous statements, is A a I?",Yes,A is a I.,True
34,A is a Q.,Q is a subclass of K.,"Given the previous statements, is A a K?",Yes,A is a K.,True
35,A is a N.,N is a subclass of Y.,"Given the previous statements, is A a Y?",Yes,A is a Y.,True
36,A is a F.,F is a subclass of D.,"Given the previous statements, is A a D?",Yes,A is a D.,True
37,A is a U.,U is a subclass of G.,"Given the previous statements, is A a G?",Yes,A is a G.,True
38,A is a O.,O is a subclass of I.,"Given the previous statements, is A a I?",Yes,A is a I.,True
39,A is a Y.,Y is a subclass of S.,"Given the previous statements, is A a S?",Yes,A is a S.,True
40,A is a B.,B is a subclass of E.,"Given the previous statements, is A a E?",Yes,A is a E.,True
41,A is a S.,S is a subclass of G.,"Given the previous statements, is A a G?",Yes,A is a G.,True
42,A is a R.,R is a subclass of C.,"Given the previous statements, is A a C?",Yes,A is a C.,True
43,A is a H.,H is a subclass of U.,"Given the previous statements, is A a U?",Yes,A is a U.,True
44,A is a S.,S is a subclass of U.,"Given the previous statements, is A a U?",Yes,A is a U.,True
45,A is a N.,N is a subclass of O.,"Given the previous statements, is A a O?",Yes,A is a O.,True
46,A is a S.,S is a subclass of B.,"Given the previous statements, is A a B?",Yes,A is a B.,True
47,A is a J.,J is a subclass of Z.,"Given the previous statements, is A a Z?",Yes,A is a Z.,True
48,A is a Q.,Q is a subclass of E.,"Given the previous statements, is A a E?",Yes,A is a E.,True
49,A is a L.,L is a subclass of S.,"Given the previous statements, is A a S?",Yes,A is a S.,True
50,A is a G.,G is a subclass of P.,"Given the previous statements, is A a P?",Yes,A is a P.,True
51,A is a P.,P is a subclass of S.,"Given the previous statements, is A a S?",Yes,A is a S.,True
52,A is a O.,O is a subclass of T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
53,A is a M.,M is a subclass of C.,"Given the previous statements, is A a C?",Yes,A is a C.,True
54,A is a H.,H is a subclass of L.,"Given the previous statements, is A a L?",Yes,A is a L.,True
55,A is a B.,B is a subclass of W.,"Given the previous statements, is A a W?",Yes,A is a W.,True
56,A is a T.,T is a subclass of C.,"Given the previous statements, is A a C?",Yes,A is a C.,True
57,A is a G.,G is a subclass of I.,"Given the previous statements, is A a I?",Yes,A is a I.,True
58,A is a Y.,Y is a subclass of W.,"Given the previous statements, is A a W?",Yes,A is a W.,True
59,A is a M.,M is a subclass of S.,"Given the previous statements, is A a S?",Yes,A is a S.,True
60,A is a Q.,Q is a subclass of T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
61,A is a S.,S is a subclass of I.,"Given the previous statements, is A a I?",Yes,A is a I.,True
62,A is a G.,G is a subclass of V.,"Given the previous statements, is A a V?",Yes,A is a V.,True
63,A is a Q.,Q is a subclass of S.,"Given the previous statements, is A a S?",Yes,A is a S.,True
64,A is a Q.,Q is a subclass of I.,"Given the previous statements, is A a I?",Yes,A is a I.,True
65,A is a W.,W is a subclass of U.,"Given the previous statements, is A a U?",Yes,A is a U.,True
66,A is a Y.,Y is a subclass of R.,"Given the previous statements, is A a R?",Yes,A is a R.,True
67,A is a G.,G is a subclass of U.,"Given the previous statements, is A a U?",Yes,A is a U.,True
68,A is a T.,T is a subclass of W.,"Given the previous statements, is A a W?",Yes,A is a W.,True
69,A is a E.,E is a subclass of T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
70,A is a I.,I is a subclass of E.,"Given the previous statements, is A a E?",Yes,A is a E.,True
71,A is a W.,W is a subclass of M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
