ID,triple1,triple2,question,answer,inferred triple,label
1,OpenLink Software is a Company.,Company is a subclass of Organisation.,"Given the previous statements, is OpenLink Software an Organisation?",Yes,OpenLink Software is an Organisation.,True
2,Cabaiguán is a Company.,Company is a subclass of Organisation.,"Given the previous statements, is Cabaiguán an Organisation?",Yes,Cabaiguán is an Organisation.,True
3,Cabal is a Company.,Company is a subclass of Organisation.,"Given the previous statements, is Cabal an Organisation?",Yes,Cabal is an Organisation.,True
4,CaMia Hopson is a Person.,Person is a subclass of Animal.,"Given the previous statements, is CaMia Hopson an Animal?",Yes,CaMia Hopson is an Animal.,True
5,Cab Calloway is a Person.,Person is a subclass of Animal.,"Given the previous statements, is Cab Calloway an Animal?",Yes,Cab Calloway is an Animal.,True
6,Cab Kaye is a Person.,Person is a subclass of Animal.,"Given the previous statements, is Cab Kaye an Animal?",Yes,Cab Kaye is an Animal.,True
7,Caitlin Blackwood is an Actor.,Actor is a subclass of Artist.,"Given the previous statements, is Caitlin Blackwood an Artist?",Yes,Caitlin Blackwood is an Artist.,True
8,Calli Cox is an Actor.,Actor is a subclass of Artist.,"Given the previous statements, is Calli Cox an Artist?",Yes,Calli Cox is an Artist.,True
9,Cameron Cuffe is an Actor.,Actor is a subclass of Artist.,"Given the previous statements, is Cameron Cuffe an Artist?",Yes,Cameron Cuffe is an Artist.,True
10,Café Royal Books is a Publisher.,Publisher is a subclass of Company.,"Given the previous statements, is Café Royal Books a Company?",Yes,Café Royal Books is a Company.,True
11,Calder Publishing is a Publisher.,Publisher is a subclass of Company.,"Given the previous statements, is Calder Publishing a Company?",Yes,Calder Publishing is a Company.,True
12,Cambria Press is a Publisher.,Publisher is a subclass of Company.,"Given the previous statements, is Cambria Press a Company?",Yes,Cambria Press is a Company.,True
13,Cadence rampa is a Genre.,Genre is a subclass of TopicalConcept.,"Given the previous statements, is Cadence rampa a TopicalConcept?",Yes,Cadence rampa is a TopicalConcept.,True
14,Car song is a Genre.,Genre is a subclass of TopicalConcept.,"Given the previous statements, is Car song a TopicalConcept?",Yes,Car song is a TopicalConcept.,True
15,American primitive guitar is a Genre.,Genre is a subclass of TopicalConcept.,"Given the previous statements, is American primitive guitar a TopicalConcept?",Yes,American primitive guitar is a TopicalConcept.,True
16,CaBIG is a Software.,Software is a subclass of Work.,"Given the previous statements, is CaBIG a Work?",Yes,CaBIG is a Work.,True
17,CaRMetal is a Software.,Software is a subclass of Work.,"Given the previous statements, is CaRMetal a Work?",Yes,CaRMetal is a Work.,True
18,Caanoo is a Software.,Software is a subclass of Work.,"Given the previous statements, is Caanoo a Work?",Yes,Caanoo is a Work.,True
19,Cab Calloway School of the Arts is a School.,School is a subclass of EducationalInstitution.,"Given the previous statements, is Cab Calloway School of the Arts an EducationalInstitution?",Yes,Cab Calloway School of the Arts is an EducationalInstitution.,True
20,Cabell Midland High School is a School.,School is a subclass of EducationalInstitution.,"Given the previous statements, is Cabell Midland High School an EducationalInstitution?",Yes,Cabell Midland High School is an EducationalInstitution.,True
21,Cable television franchise fee is a School.,School is a subclass of EducationalInstitution.,"Given the previous statements, is Cable television franchise fee an EducationalInstitution?",Yes,Cable television franchise fee is an EducationalInstitution.,True
22,Campaign for Accountability is a Non-ProfitOrganisation.,Non-ProfitOrganisation is a subclass of Organisation.,"Given the previous statements, is Campaign for Accountability an Organisation?",Yes,Campaign for Accountability is an Organisation.,True
23,Monuments aux Morts is a Non-ProfitOrganisation.,Non-ProfitOrganisation is a subclass of Organisation.,"Given the previous statements, is Monuments aux Morts an Organisation?",Yes,Monuments aux Morts is an Organisation.,True
24,War memorials is a Non-ProfitOrganisation.,Non-ProfitOrganisation is a subclass of Organisation.,"Given the previous statements, is War memorials an Organisation?",Yes,War memorials is an Organisation.,True
25,Cable 14 is a Broadcaster.,Broadcaster is a subclass of Organisation.,"Given the previous statements, is Cable 14 an Organisation?",Yes,Cable 14 is an Organisation.,True
26,Cable Music Channel is a Broadcaster.,Broadcaster is a subclass of Organisation.,"Given the previous statements, is Cable Music Channel an Organisation?",Yes,Cable Music Channel is an Organisation.,True
27,Cable Video Store is a Broadcaster.,Broadcaster is a subclass of Organisation.,"Given the previous statements, is Cable Video Store an Organisation?",Yes,Cable Video Store is an Organisation.,True
28,Caligula is a Cartoon.,Cartoon is a subclass of work.,"Given the previous statements, is Caligula a work?",Yes,Caligula is a work.,True
29,Canaan is a Cartoon.,Cartoon is a subclass of work.,"Given the previous statements, is Canaan a work?",Yes,Canaan is a work.,True
30,Candy Boy is a Cartoon.,Cartoon is a subclass of work.,"Given the previous statements, is Candy Boy a work?",Yes,Candy Boy is a work.,True
31,Caban v. Mohammed is a Case.,Case is a subclass of UnitOfWork.,"Given the previous statements, is Caban v. Mohammed an UnitOfWork?",Yes,Caban v. Mohammed is an UnitOfWork.,True
32,Cabell v. Chavez-Salido is a Case.,Case is a subclass of UnitOfWork.,"Given the previous statements, is Cabell v. Chavez-Salido an UnitOfWork?",Yes,Cabell v. Chavez-Salido is an UnitOfWork.,True
