ID,triple1,triple2,question,answer,inferred triple,label
1,A is a subproperty of L.,L is a subproperty of J.,"Given the previous statements, is A a subproperty of J?",Yes,A is a subproperty of J.,True
2,A is a subproperty of T.,T is a subproperty of B.,"Given the previous statements, is A a subproperty of B?",Yes,A is a subproperty of B.,True
3,B is a subproperty of K.,K is a subproperty of I.,"Given the previous statements, is B a subproperty of I?",Yes,B is a subproperty of I.,True
4,B is a subproperty of G.,G is a subproperty of T.,"Given the previous statements, is B a subproperty of T?",Yes,B is a subproperty of T.,True
5,C is a subproperty of O.,O is a subproperty of U.,"Given the previous statements, is C a subproperty of U?",Yes,C is a subproperty of U.,True
6,C is a subproperty of U.,U is a subproperty of P.,"Given the previous statements, is C a subproperty of P?",Yes,C is a subproperty of P.,True
7,D is a subproperty of Z.,Z is a subproperty of G.,"Given the previous statements, is D a subproperty of G?",Yes,D is a subproperty of G.,True
8,D is a subproperty of S.,S is a subproperty of B.,"Given the previous statements, is D a subproperty of B?",Yes,D is a subproperty of B.,True
9,E is a subproperty of Z.,Z is a subproperty of A.,"Given the previous statements, is E a subproperty of A?",Yes,E is a subproperty of A.,True
10,E is a subproperty of G.,G is a subproperty of L.,"Given the previous statements, is E a subproperty of L?",Yes,E is a subproperty of L.,True
11,F is a subproperty of A.,A is a subproperty of R.,"Given the previous statements, is F a subproperty of R?",Yes,F is a subproperty of R.,True
12,F is a subproperty of O.,O is a subproperty of U.,"Given the previous statements, is F a subproperty of U?",Yes,F is a subproperty of U.,True
13,G is a subproperty of J.,J is a subproperty of I.,"Given the previous statements, is G a subproperty of I?",Yes,G is a subproperty of I.,True
14,G is a subproperty of A.,A is a subproperty of V.,"Given the previous statements, is G a subproperty of V?",Yes,G is a subproperty of V.,True
15,H is a subproperty of R.,R is a subproperty of K.,"Given the previous statements, is H a subproperty of K?",Yes,H is a subproperty of K.,True
16,H is a subproperty of G.,G is a subproperty of U.,"Given the previous statements, is H a subproperty of U?",Yes,H is a subproperty of U.,True
17,I is a subproperty of A.,A is a subproperty of N.,"Given the previous statements, is I a subproperty of N?",Yes,I is a subproperty of N.,True
18,I is a subproperty of T.,T is a subproperty of R.,"Given the previous statements, is I a subproperty of R?",Yes,I is a subproperty of R.,True
19,J is a subproperty of L.,L is a subproperty of E.,"Given the previous statements, is J a subproperty of E?",Yes,J is a subproperty of E.,True
20,J is a subproperty of B.,B is a subproperty of L.,"Given the previous statements, is J a subproperty of L?",Yes,J is a subproperty of L.,True
21,K is a subproperty of P.,P is a subproperty of M.,"Given the previous statements, is K a subproperty of M?",Yes,K is a subproperty of M.,True
22,K is a subproperty of Z.,Z is a subproperty of S.,"Given the previous statements, is K a subproperty of S?",Yes,K is a subproperty of S.,True
23,L is a subproperty of M.,M is a subproperty of W.,"Given the previous statements, is L a subproperty of W?",Yes,L is a subproperty of W.,True
24,L is a subproperty of Q.,Q is a subproperty of F.,"Given the previous statements, is L a subproperty of F?",Yes,L is a subproperty of F.,True
25,M is a subproperty of Z.,Z is a subproperty of P.,"Given the previous statements, is M a subproperty of P?",Yes,M is a subproperty of P.,True
26,M is a subproperty of I.,I is a subproperty of L.,"Given the previous statements, is M a subproperty of L?",Yes,M is a subproperty of L.,True
27,N is a subproperty of D.,D is a subproperty of B.,"Given the previous statements, is N a subproperty of B?",Yes,N is a subproperty of B.,True
28,N is a subproperty of Z.,Z is a subproperty of C.,"Given the previous statements, is N a subproperty of C?",Yes,N is a subproperty of C.,True
29,A is a subproperty of X.,X is a subproperty of M.,"Given the previous statements, is A a subproperty of T?",No,A is not a subproperty of T.,False
30,A is a subproperty of X.,X is a subproperty of Y.,"Given the previous statements, is A a subproperty of H?",No,A is not a subproperty of H.,False
31,B is a subproperty of D.,D is a subproperty of Q.,"Given the previous statements, is B a subproperty of N?",No,B is not a subproperty of N.,False
32,B is a subproperty of O.,O is a subproperty of T.,"Given the previous statements, is B a subproperty of V?",No,B is not a subproperty of V.,False
33,C is a subproperty of X.,X is a subproperty of N.,"Given the previous statements, is C a subproperty of A?",No,C is not a subproperty of A.,False
34,C is a subproperty of F.,F is a subproperty of P.,"Given the previous statements, is C a subproperty of G?",No,C is not a subproperty of G.,False
35,D is a subproperty of O.,O is a subproperty of X.,"Given the previous statements, is D a subproperty of S?",No,D is not a subproperty of S.,False
36,D is a subproperty of G.,G is a subproperty of J.,"Given the previous statements, is D a subproperty of S?",No,D is not a subproperty of S.,False
37,E is a subproperty of S.,S is a subproperty of P.,"Given the previous statements, is E a subproperty of W?",No,E is not a subproperty of W.,False
38,E is a subproperty of T.,T is a subproperty of S.,"Given the previous statements, is E a subproperty of F?",No,E is not a subproperty of F.,False
