ID,triple1,triple2,question,answer,inferred triple,label,LLM output
1378,D is a P.,P is a subclass of F.,"Given the previous statements, is D a N?",No,D is not a N.,False,"No, D is not a N."
1365,D is a V.,V is a subclass of T.,"Given the previous statements, is D a L?",No,D is not a L.,False,"No, D is not a L."
499,E is a S.,S is a subclass of L.,"Given the previous statements, is E a L?",Yes,E is a L.,True,"Yes, E is a S."
502,F is a D.,D is a subclass of X.,"Given the previous statements, is F a X?",Yes,F is a X.,True,"Yes, F is a X."
1121,B is a P.,P is a subclass of W.,"Given the previous statements, is B a M?",No,B is not a M.,False,"No, B is not a M."
834,I is a H.,H is a subclass of L.,"Given the previous statements, is I a L?",Yes,I is a L.,True,"No, I am not a L."
1222,C is a W.,W is a subclass of L.,"Given the previous statements, is C a X?",No,C is not a X.,False,"No, C is not a X."
1308,D is a B.,B is a subclass of C.,"Given the previous statements, is D a J?",No,D is not a J.,False,"No, D is not a J."
1136,B is a Q.,Q is a subclass of K.,"Given the previous statements, is B a W?",No,B is not a W.,False,"No, B is not a W."
843,I is a Q.,Q is a subclass of F.,"Given the previous statements, is I a F?",Yes,I is a F.,True,"Yes, I am a F."
555,F is a Z.,Z is a subclass of J.,"Given the previous statements, is F a J?",Yes,F is a J.,True,"No, F is not a J."
793,H is a G.,G is a subclass of Z.,"Given the previous statements, is H a Z?",Yes,H is a Z.,True,"No, H is not a Z."
97,A is a L.,L is a subclass of P.,"Given the previous statements, is A a P?",Yes,A is a P.,True,"No, A is not a P."
1654,G is a E.,E is a subclass of I.,"Given the previous statements, is G a Y?",No,G is not a Y.,False,"No, G is not a Y."
1130,B is a T.,T is a subclass of J.,"Given the previous statements, is B a C?",No,B is not a C.,False,"No, B is not a C."
1688,G is a J.,J is a subclass of X.,"Given the previous statements, is G a Z?",No,G is not a Z.,False,"No, G is not a Z."
871,I is a K.,K is a subclass of A.,"Given the previous statements, is I a A?",Yes,I is a A.,True,"Yes, I am a K."
929,J is a L.,L is a subclass of R.,"Given the previous statements, is J a R?",Yes,J is a R.,True,"Yes, J is a R."
894,I is a W.,W is a subclass of N.,"Given the previous statements, is I a N?",Yes,I is a N.,True,"No, I am not a N."
184,B is a E.,E is a subclass of Z.,"Given the previous statements, is B a Z?",Yes,B is a Z.,True,"No, B is not a Z."
1487,E is a N.,N is a subclass of S.,"Given the previous statements, is E a U?",No,E is not a U.,False,"No, E is not a U."
1527,F is a O.,O is a subclass of H.,"Given the previous statements, is F a J?",No,F is not a J.,False,"No, F is not a J."
1936,J is a Z.,Z is a subclass of I.,"Given the previous statements, is J a C?",No,J is not a C.,False,"No, J is not a C."
1392,D is a K.,K is a subclass of C.,"Given the previous statements, is D a A?",No,D is not a A.,False,"No, D is not an A."
878,I is a N.,N is a subclass of T.,"Given the previous statements, is I a T?",Yes,I is a T.,True,"Yes, I is a T."
265,C is a S.,S is a subclass of U.,"Given the previous statements, is C a U?",Yes,C is a U.,True,"Yes, C is a U."
1954,J is a Y.,Y is a subclass of R.,"Given the previous statements, is J a V?",No,J is not a V.,False,"No, J is not a V."
385,D is a J.,J is a subclass of F.,"Given the previous statements, is D a F?",Yes,D is a F.,True,"Yes, D is a F."
1815,I is a F.,F is a subclass of U.,"Given the previous statements, is I a V?",No,I is not a V.,False,"No, I am not a V."
1472,E is a Q.,Q is a subclass of N.,"Given the previous statements, is E a J?",No,E is not a J.,False,"No, E is not a J."
751,H is a J.,J is a subclass of Z.,"Given the previous statements, is H a Z?",Yes,H is a Z.,True,"No, H is not a Z."
825,I is a B.,B is a subclass of L.,"Given the previous statements, is I a L?",Yes,I is a L.,True,"Yes, I is a B."
1526,F is a J.,J is a subclass of I.,"Given the previous statements, is F a G?",No,F is not a G.,False,"No, F is not a G."
450,E is a U.,U is a subclass of H.,"Given the previous statements, is E a H?",Yes,E is a H.,True,"No, E is not a H."
1414,E is a U.,U is a subclass of R.,"Given the previous statements, is E a L?",No,E is not a L.,False,"No, E is not a L."
1855,I is a L.,L is a subclass of K.,"Given the previous statements, is I a H?",No,I is not a H.,False,"No, I am not a H."
197,B is a S.,S is a subclass of K.,"Given the previous statements, is B a K?",Yes,B is a K.,True,"Yes, B is a K."
100,A is a J.,J is a subclass of N.,"Given the previous statements, is A a N?",Yes,A is a N.,True,"Yes, A is a N."
451,E is a K.,K is a subclass of A.,"Given the previous statements, is E a A?",Yes,E is a A.,True,"Yes, E is a subclass of A."
291,C is a M.,M is a subclass of Q.,"Given the previous statements, is C a Q?",Yes,C is a Q.,True,"Yes, C is a Q."
1534,F is a U.,U is a subclass of J.,"Given the previous statements, is F a R?",No,F is not a R.,False,"No, F is not a R."
1685,G is a D.,D is a subclass of U.,"Given the previous statements, is G a K?",No,G is not a K.,False,"No, G is not a K."
802,I is a B.,B is a subclass of M.,"Given the previous statements, is I a M?",Yes,I is a M.,True,"Yes, I is a B."
1452,E is a X.,X is a subclass of R.,"Given the previous statements, is E a W?",No,E is not a W.,False,"No, E is not a W."
1116,B is a D.,D is a subclass of C.,"Given the previous statements, is B a S?",No,B is not a S.,False,"No, B is not a S."
1946,J is a T.,T is a subclass of N.,"Given the previous statements, is J a B?",No,J is not a B.,False,"No, J is not a B."
1480,E is a P.,P is a subclass of Y.,"Given the previous statements, is E a O?",No,E is not a O.,False,"No, E is not an O."
1955,J is a H.,H is a subclass of C.,"Given the previous statements, is J a A?",No,J is not a A.,False,"No, J is not an A."
1402,E is a P.,P is a subclass of F.,"Given the previous statements, is E a Q?",No,E is not a Q.,False,"No, E is not a Q."
756,H is a U.,U is a subclass of X.,"Given the previous statements, is H a X?",Yes,H is a X.,True,"Yes, H is a X."
261,C is a B.,B is a subclass of P.,"Given the previous statements, is C a P?",Yes,C is a P.,True,"Yes, C is a P."
53,A is a M.,M is a subclass of C.,"Given the previous statements, is A a C?",Yes,A is a C.,True,"Yes, A is a C."
109,B is a K.,K is a subclass of D.,"Given the previous statements, is B a D?",Yes,B is a D.,True,"Yes, B is a D."
1173,B is a H.,H is a subclass of Q.,"Given the previous statements, is B a C?",No,B is not a C.,False,"No, B is not a C."
1729,H is a E.,E is a subclass of A.,"Given the previous statements, is H a N?",No,H is not a N.,False,"No, H is not a N."
1845,I is a D.,D is a subclass of B.,"Given the previous statements, is I a W?",No,I is not a W.,False,"No, I am not a W."
1199,B is a H.,H is a subclass of N.,"Given the previous statements, is B a S?",No,B is not a S.,False,"No, B is not a S."
238,C is a S.,S is a subclass of M.,"Given the previous statements, is C a M?",Yes,C is a M.,True,"Yes, C is a M."
630,G is a Q.,Q is a subclass of C.,"Given the previous statements, is G a C?",Yes,G is a C.,True,"Yes, G is a C."
872,I is a M.,M is a subclass of Z.,"Given the previous statements, is I a Z?",Yes,I is a Z.,True,"No, I am not a Z."
1659,G is a H.,H is a subclass of E.,"Given the previous statements, is G a M?",No,G is not a M.,False,"No, G is not a M."
1929,J is a P.,P is a subclass of F.,"Given the previous statements, is J a G?",No,J is not a G.,False,"No, J is not a G."
974,J is a C.,C is a subclass of B.,"Given the previous statements, is J a B?",Yes,J is a B.,True,"No, J is not a B."
1442,E is a Y.,Y is a subclass of X.,"Given the previous statements, is E a B?",No,E is not a B.,False,"No, E is not a B."
1352,D is a R.,R is a subclass of G.,"Given the previous statements, is D a L?",No,D is not a L.,False,"No, D is not a L."
1831,I is a Q.,Q is a subclass of D.,"Given the previous statements, is I a A?",No,I is not a A.,False,"No, I am not an A."
1300,C is a I.,I is a subclass of L.,"Given the previous statements, is C a Q?",No,C is not a Q.,False,"No, C is not a Q."
986,J is a T.,T is a subclass of F.,"Given the previous statements, is J a F?",Yes,J is a F.,True,"Yes, J is a T."
1253,C is a Q.,Q is a subclass of B.,"Given the previous statements, is C a Z?",No,C is not a Z.,False,"No, C is not a Z."
1529,F is a E.,E is a subclass of P.,"Given the previous statements, is F a B?",No,F is not a B.,False,"No, F is not a B."
1593,F is a T.,T is a subclass of U.,"Given the previous statements, is F a N?",No,F is not a N.,False,"No, F is not a N."
303,D is a V.,V is a subclass of W.,"Given the previous statements, is D a W?",Yes,D is a W.,True,"No, D is not a W."
1020,A is a I.,I is a subclass of J.,"Given the previous statements, is A a K?",No,A is not a K.,False,"No, A is not a K."
583,F is a T.,T is a subclass of P.,"Given the previous statements, is F a P?",Yes,F is a P.,True,"No, F is not a P."
299,C is a O.,O is a subclass of V.,"Given the previous statements, is C a V?",Yes,C is a V.,True,"No, C is not a V."
352,D is a Y.,Y is a subclass of L.,"Given the previous statements, is D a L?",Yes,D is a L.,True,"Yes, D is a L."
1511,F is a G.,G is a subclass of J.,"Given the previous statements, is F a S?",No,F is not a S.,False,"No, F is not a S."
1027,A is a U.,U is a subclass of M.,"Given the previous statements, is A a P?",No,A is not a P.,False,"No, A is not a P."
16,A is a G.,G is a subclass of K.,"Given the previous statements, is A a K?",Yes,A is a K.,True,"No, A is not a K."
1307,D is a J.,J is a subclass of T.,"Given the previous statements, is D a A?",No,D is not a A.,False,"No, D is not an A."
1791,H is a I.,I is a subclass of Y.,"Given the previous statements, is H a M?",No,H is not a M.,False,"No, H is not a M."
1724,H is a R.,R is a subclass of N.,"Given the previous statements, is H a S?",No,H is not a S.,False,"No, H is not a S."
801,I is a G.,G is a subclass of V.,"Given the previous statements, is I a V?",Yes,I is a V.,True,"Yes, I is a V."
276,C is a S.,S is a subclass of Y.,"Given the previous statements, is C a Y?",Yes,C is a Y.,True,"Yes, C is a Y."
1763,H is a W.,W is a subclass of N.,"Given the previous statements, is H a A?",No,H is not a A.,False,"No, H is not an A."
1760,H is a B.,B is a subclass of Y.,"Given the previous statements, is H a L?",No,H is not a L.,False,"No, H is not a L."
1797,H is a U.,U is a subclass of B.,"Given the previous statements, is H a R?",No,H is not a R.,False,"No, H is not a R."
55,A is a B.,B is a subclass of W.,"Given the previous statements, is A a W?",Yes,A is a W.,True,"Yes, A is a W."
452,E is a C.,C is a subclass of F.,"Given the previous statements, is E a F?",Yes,E is a F.,True,"Yes, E is a F."
401,E is a R.,R is a subclass of T.,"Given the previous statements, is E a T?",Yes,E is a T.,True,"Yes, E is a T."
1049,A is a H.,H is a subclass of V.,"Given the previous statements, is A a D?",No,A is not a D.,False,"No, A is not a D."
1050,A is a Z.,Z is a subclass of N.,"Given the previous statements, is A a M?",No,A is not a M.,False,"No, A is not a M."
167,B is a C.,C is a subclass of O.,"Given the previous statements, is B a O?",Yes,B is a O.,True,"Yes, B is a C."
1336,D is a E.,E is a subclass of Z.,"Given the previous statements, is D a V?",No,D is not a V.,False,"No, D is not a V."
611,G is a O.,O is a subclass of R.,"Given the previous statements, is G a R?",Yes,G is a R.,True,"Yes, G is a R."
1423,E is a J.,J is a subclass of V.,"Given the previous statements, is E a I?",No,E is not a I.,False,"Yes, E is a I."
47,A is a J.,J is a subclass of Z.,"Given the previous statements, is A a Z?",Yes,A is a Z.,True,"No, A is not a Z."
176,B is a Y.,Y is a subclass of Z.,"Given the previous statements, is B a Z?",Yes,B is a Z.,True,"No, B is not a Z."
1350,D is a R.,R is a subclass of I.,"Given the previous statements, is D a F?",No,D is not a F.,False,"No, D is not a F."
1418,E is a T.,T is a subclass of N.,"Given the previous statements, is E a J?",No,E is not a J.,False,"No, E is not a J."
997,J is a M.,M is a subclass of H.,"Given the previous statements, is J a H?",Yes,J is a H.,True,"Yes, J is a H."
1488,E is a T.,T is a subclass of I.,"Given the previous statements, is E a A?",No,E is not a A.,False,"No, E is not an A."
773,H is a C.,C is a subclass of J.,"Given the previous statements, is H a J?",Yes,H is a J.,True,"No, H is not a J."
749,H is a O.,O is a subclass of J.,"Given the previous statements, is H a J?",Yes,H is a J.,True,"No, H is not a J."
480,E is a R.,R is a subclass of X.,"Given the previous statements, is E a X?",Yes,E is a X.,True,"Yes, E is a subclass of X."
1366,D is a O.,O is a subclass of S.,"Given the previous statements, is D a Z?",No,D is not a Z.,False,"No, D is not a Z."
1708,H is a P.,P is a subclass of L.,"Given the previous statements, is H a Z?",No,H is not a Z.,False,"No, H is not a Z."
1167,B is a X.,X is a subclass of R.,"Given the previous statements, is B a I?",No,B is not a I.,False,"No, B is not an I."
1689,G is a Q.,Q is a subclass of M.,"Given the previous statements, is G a S?",No,G is not a S.,False,"No, G is not a S."
