ID,triple1,triple2,question,answer,inferred triple,label,LLM output
5,championInDoubleMale is a subproperty of championInDouble.,championInDouble is a subproperty of hasParticipant.,"Given the previous statements, is championInDoubleMale a subproperty of hasParticipant?",Yes,championInDoubleMale is a subproperty of hasParticipant.,True,"Yes, championInDoubleMale is a subproperty of"
12,playRole is a subproperty of uses.,uses is a subproperty of isParticipantIn.,"Given the previous statements, is playRole a subproperty of isParticipantIn?",Yes,playRole is a subproperty of isParticipantIn.,True,"Yes, playRole is a subproperty of uses."
6,championInMixedDouble is a subproperty of championInDouble.,championInDouble is a subproperty of hasParticipant.,"Given the previous statements, is championInMixedDouble a subproperty of hasParticipant?",Yes,championInMixedDouble is a subproperty of hasParticipant.,True,"Yes, championInMixedDouble is a subproperty"
16,awayColourHexCode is a subproperty of colourHexCode.,colourHexCode is a subproperty of code.,"Given the previous statements, is awayColourHexCode a subproperty of code?",Yes,awayColourHexCode is a subproperty of code.,True,"Yes, awayColourHexCode is a subproperty of code."
52,isPartOfWineRegion is a subproperty of isPartOf.,isPartOf is a subproperty of budgetYear.,"Given the previous statements, is isPartOfWineRegion a subproperty of isPartOf?",No,isPartOfWineRegion is not a subproperty of isPartOf.,False,"Yes, is PartOfWineRegion is a subproperty"
23,isPartOfAnatomicalStructure is a subproperty of isPartOf.,isPartOf is a subproperty of isPartOf.,"Given the previous statements, is isPartOfAnatomicalStructure a subproperty of isPartOf?",Yes,isPartOfAnatomicalStructure is a subproperty of isPartOf.,True,"Yes, is PartOfAnatomicalStructure is a subprop"
8,championInSingleMale is a subproperty of championInSingle.,championInSingle is a subproperty of hasParticipant.,"Given the previous statements, is championInSingleMale a subproperty of hasParticipant?",Yes,championInSingleMale is a subproperty of hasParticipant.,True,"Yes, championInSingleMale is a subproperty of"
53,isPartOfMilitaryConflict is a subproperty of isPartOf.,isPartOf is a subproperty of signName.,"Given the previous statements, is isPartOfMilitaryConflict a subproperty of isPartOf?",No,isPartOfMilitaryConflict is not a subproperty of isPartOf.,False,"Yes, is PartOfMilitaryConflict is a subprop"
34,championInMixedDouble is a subproperty of championInDouble.,championInDouble is a subproperty of blueLongDistancePisteNumber.,"Given the previous statements, is championInMixedDouble a subproperty of hasParticipant?",No,championInMixedDouble is not a subproperty of hasParticipant.,False,"No, championInMixedDouble is not a subpropert"
25,isPartOfMilitaryConflict is a subproperty of isPartOf.,isPartOf is a subproperty of isPartOf.,"Given the previous statements, is isPartOfMilitaryConflict a subproperty of isPartOf?",Yes,isPartOfMilitaryConflict is a subproperty of isPartOf.,True,"Yes, is PartOfMilitaryConflict is a subprop"
1,locationCity is a subproperty of location.,location is a subproperty of hasLocation.,"Given the previous statements, is locationCity a subproperty of hasLocation?",Yes,locationCity is a subproperty of hasLocation.,True,"Yes, locationCity is a subproperty of hasLocation"
7,championInSingleFemale is a subproperty of championInSingle.,championInSingle is a subproperty of hasParticipant.,"Given the previous statements, is championInSingleFemale a subproperty of hasParticipant?",Yes,championInSingleFemale is a subproperty of hasParticipant.,True,"Yes, championInSingleFemale is a subproperty of"
28,owningOrganisation is a subproperty of owner.,owner is a subproperty of sameSettingAs.,"Given the previous statements, is owningOrganisation a subproperty of sameSettingAs?",Yes,owningOrganisation is a subproperty of sameSettingAs.,True,"Yes, owningOrganisation is a subproperty of sameSetting"
38,olympicOathSwornByAthlete is a subproperty of olympicOathSwornBy.,olympicOathSwornBy is a subproperty of manufacturer.,"Given the previous statements, is olympicOathSwornByAthlete a subproperty of hasParticipant?",No,olympicOathSwornByAthlete is not a subproperty of hasParticipant.,False,"No, olympicOathSwornByAthlete is"
2,locationCountry is a subproperty of location.,location is a subproperty of hasLocation.,"Given the previous statements, is locationCountry a subproperty of hasLocation?",Yes,locationCountry is a subproperty of hasLocation.,True,"Yes, locationCountry is a subproperty of hasLocation"
54,commandant is a subproperty of keyPerson.,keyPerson is a subproperty of numberOfUndergraduateStudents.,"Given the previous statements, is commandant a subproperty of sameSettingAs?",No,commandant is not a subproperty of sameSettingAs.,False,"No, commandant is not a subproperty of sameSettingAs"
51,isPartOfAnatomicalStructure is a subproperty of isPartOf.,isPartOf is a subproperty of bronzeMedalist.,"Given the previous statements, is isPartOfAnatomicalStructure a subproperty of isPartOf?",No,isPartOfAnatomicalStructure is not a subproperty of isPartOf.,False,"Yes, is PartOfAnatomicalStructure is a subprop"
26,commandant is a subproperty of keyPerson.,keyPerson is a subproperty of sameSettingAs.,"Given the previous statements, is commandant a subproperty of sameSettingAs?",Yes,commandant is a subproperty of sameSettingAs.,True,"Yes, commandant is a subproperty of sameSettingAs."
