ID,triple1,triple2,question,answer,inferred triple,label,LLM output
925,Camilla Battista da Varano majorShrine Macerata.,majorShrine has domain Saint.,"Given the previous statements, is Camilla Battista da Varano a Saint?",Yes,Camilla Battista da Varano is a Saint.,True,No
37,Preston park and ride vehiclesInFleet Optare Solo.,vehiclesInFleet has domain PublicTransitSystem.,"Given the previous statements, is Preston park and ride a PublicTransitSystem?",Yes,Preston park and ride is a PublicTransitSystem.,True,No
251,California Chrome grandsire Pulpit.,grandsire has domain Animal.,"Given the previous statements, is California Chrome an Animal?",Yes,California Chrome is an Animal.,True,No
1588,Patty Berg winsAtLPGA List of golfers with most LPGA Tour wins.,winsAtLPGA has domain Bacteria.,"Given the previous statements, is Patty Berg a GolfPlayer?",No,Patty Berg is not a GolfPlayer.,False,No
1980,Canigou firstAscentPerson Peter III of Aragon.,firstAscentPerson has domain Vodka.,"Given the previous statements, is Canigou a Mountain?",No,Canigou is not a Mountain.,False,No
226,Cade Fairchild draftTeam St. Louis Blues.,draftTeam has domain Athlete.,"Given the previous statements, is Cade Fairchild an Athlete?",Yes,Cade Fairchild is an Athlete.,True,No
1243,Cadillac High Technology engine fuelSystem Fuel injection.,fuelSystem has domain UndergroundJournal.,"Given the previous statements, is Cadillac High Technology engine an AutomobileEngine?",No,Cadillac High Technology engine is not an AutomobileEngine.,False,No
172,Cadillac Allanté automobilePlatform GM V platform.,automobilePlatform has domain Automobile.,"Given the previous statements, is Cadillac Allanté an Automobile?",Yes,Cadillac Allanté is an Automobile.,True,No
1026,"Castletown, Isle of Man parish Malew.",parish has domain SerialKiller.,"Given the previous statements, is Castletown, Isle of Man a PopulatedPlace?",No,"Castletown, Isle of Man is not a PopulatedPlace.",False,No
1102,Catecholaminergic polymorphic ventricular tachycardia geneReviewsId NBK1289.,geneReviewsId has domain Model.,"Given the previous statements, is Catecholaminergic polymorphic ventricular tachycardia a Disease?",No,Catecholaminergic polymorphic ventricular tachycardia is not a Disease.,False,Yes
203,Cade Davis college Oklahoma Sooners men's basketball.,college has domain Person.,"Given the previous statements, is Cade Davis a Person?",Yes,Cade Davis is a Person.,True,No
565,Beach handball at the 2018 Summer Youth Olympics nextEvent Beach handball at the 2026 Summer Youth Olympics.,nextEvent has domain Event.,"Given the previous statements, is Beach handball at the 2018 Summer Youth Olympics an Event?",Yes,Beach handball at the 2018 Summer Youth Olympics is an Event.,True,Yes
793,Cabanac-Cazaux inseeCode 31095.,inseeCode has domain Settlement.,"Given the previous statements, is Cabanac-Cazaux a Settlement?",Yes,Cabanac-Cazaux is a Settlement.,True,No
1958,Cadbury Heath ceremonialCounty Gloucestershire.,ceremonialCounty has domain Comic.,"Given the previous statements, is Cadbury Heath a PopulatedPlace?",No,Cadbury Heath is not a PopulatedPlace.,False,No
937,Cabécar language spokenIn Turrialba.,spokenIn has domain Language.,"Given the previous statements, is Cabécar language a Language?",Yes,Cabécar language is a Language.,True,No
608,Cannock Chase murders motive Rape.,motive has domain Criminal.,"Given the previous statements, is Cannock Chase murders a Criminal?",Yes,Cannock Chase murders is a Criminal.,True,No
1954,Sciatic nerve branchTo Tibial nerve.,branchTo has domain Building.,"Given the previous statements, is Sciatic nerve an AnatomicalStructure?",No,Sciatic nerve is not an AnatomicalStructure.,False,No
835,"Cabra, Dublin populationUrban 22740.",populationUrban has domain PopulatedPlace.,"Given the previous statements, is Cabra, Dublin a PopulatedPlace?",Yes,"Cabra, Dublin is a PopulatedPlace.",True,No
851,Cape Fear High School ranking 6066.,ranking has domain Organisation.,"Given the previous statements, is Cape Fear High School an Organisation?",Yes,Cape Fear High School is an Organisation.,True,No
31,Procés Constituent spokesperson Arcadi Oliveres.,spokesperson has domain PoliticalParty.,"Given the previous statements, is Procés Constituent a PoliticalParty?",Yes,Procés Constituent is a PoliticalParty.,True,No
289,Cao Tianqin notableStudent Li Zaiping.,notableStudent has domain Scientist.,"Given the previous statements, is Cao Tianqin a Scientist?",Yes,Cao Tianqin is a Scientist.,True,No
1331,Cabanage River riverMouth Saguenay River.,riverMouth has domain AmericanFootballCoach.,"Given the previous statements, is Cabanage River a River?",No,Cabanage River is not a River.,False,No
1713,Camila Gómez block 260 cm.,block has domain Economist.,"Given the previous statements, is Camila Gómez a VolleyballPlayer?",No,Camila Gómez is not a VolleyballPlayer.,False,Yes
1538,CasaPound youthWing Students' Block.,youthWing has domain Flag.,"Given the previous statements, is CasaPound a PoliticalParty?",No,CasaPound is not a PoliticalParty.,False,Casa
117,Rotuaari lengthReference .,lengthReference has domain RouteOfTransportation.,"Given the previous statements, is Rotuaari a RouteOfTransportation?",Yes,Rotuaari is a RouteOfTransportation.,True,No
