ID,triple1,triple2,question,answer,inferred triple,label,LLM output
1917,J F N.,F is a subproperty of D.,"Given the previous statements, does J have a relation with N through I?",No,J does not have relation with N through I.,False,Yes
1708,H D Z.,D is a subproperty of W.,"Given the previous statements, does H have a relation with Z through B?",No,H does not have relation with Z through B.,False,Yes
1232,C G I.,G is a subproperty of N.,"Given the previous statements, does C have a relation with I through H?",No,C does not have relation with I through H.,False,Yes
1523,F Q W.,Q is a subproperty of K.,"Given the previous statements, does F have a relation with W through O?",No,F does not have relation with W through O.,False,Yes
163,B R I.,R is a subproperty of L.,"Given the previous statements, does B have a relation with I through L?",Yes,B has a relation with I through L.,True,Yes
564,F W H.,W is a subproperty of U.,"Given the previous statements, does F have a relation with H through U?",Yes,F has a relation with H through U.,True,Yes
1196,B T G.,T is a subproperty of A.,"Given the previous statements, does B have a relation with G through J?",No,B does not have relation with G through J.,False,Yes
1287,C M X.,M is a subproperty of W.,"Given the previous statements, does C have a relation with X through G?",No,C does not have relation with X through G.,False,Yes
1284,C S U.,S is a subproperty of M.,"Given the previous statements, does C have a relation with U through Y?",No,C does not have relation with U through Y.,False,Yes
1198,B R A.,R is a subproperty of I.,"Given the previous statements, does B have a relation with A through E?",No,B does not have relation with A through E.,False,Yes
143,B V O.,V is a subproperty of A.,"Given the previous statements, does B have a relation with O through A?",Yes,B has a relation with O through A.,True,Yes
856,I T F.,T is a subproperty of Z.,"Given the previous statements, does I have a relation with F through Z?",Yes,I has a relation with F through Z.,True,Yes
431,E G Z.,G is a subproperty of S.,"Given the previous statements, does E have a relation with Z through S?",Yes,E has a relation with Z through S.,True,Yes
1485,E Q L.,Q is a subproperty of W.,"Given the previous statements, does E have a relation with L through F?",No,E does not have relation with L through F.,False,Yes
1576,F N L.,N is a subproperty of O.,"Given the previous statements, does F have a relation with L through K?",No,F does not have relation with L through K.,False,Yes
1086,A B V.,B is a subproperty of E.,"Given the previous statements, does A have a relation with V through T?",No,A does not have relation with V through T.,False,Yes
738,H I U.,I is a subproperty of X.,"Given the previous statements, does H have a relation with U through X?",Yes,H has a relation with U through X.,True,Yes
1876,I G S.,G is a subproperty of Y.,"Given the previous statements, does I have a relation with S through W?",No,I does not have relation with S through W.,False,Yes
1031,A O R.,O is a subproperty of M.,"Given the previous statements, does A have a relation with R through L?",No,A does not have relation with R through L.,False,Yes
483,E R V.,R is a subproperty of M.,"Given the previous statements, does E have a relation with V through M?",Yes,E has a relation with V through M.,True,Yes
299,C Y T.,Y is a subproperty of X.,"Given the previous statements, does C have a relation with T through X?",Yes,C has a relation with T through X.,True,Yes
175,B C X.,C is a subproperty of V.,"Given the previous statements, does B have a relation with X through V?",Yes,B has a relation with X through V.,True,Yes
699,G W O.,W is a subproperty of M.,"Given the previous statements, does G have a relation with O through M?",Yes,G has a relation with O through M.,True,Yes
970,J T A.,T is a subproperty of H.,"Given the previous statements, does J have a relation with A through H?",Yes,J has a relation with A through H.,True,Yes
1296,C Y M.,Y is a subproperty of U.,"Given the previous statements, does C have a relation with M through N?",No,C does not have relation with M through N.,False,Yes
185,B V Z.,V is a subproperty of M.,"Given the previous statements, does B have a relation with Z through M?",Yes,B has a relation with Z through M.,True,Yes
89,A X E.,X is a subproperty of I.,"Given the previous statements, does A have a relation with E through I?",Yes,A has a relation with E through I.,True,Yes
1840,I N V.,N is a subproperty of K.,"Given the previous statements, does I have a relation with V through U?",No,I does not have relation with V through U.,False,No
1613,G H X.,H is a subproperty of J.,"Given the previous statements, does G have a relation with X through B?",No,G does not have relation with X through B.,False,Yes
739,H P C.,P is a subproperty of X.,"Given the previous statements, does H have a relation with C through X?",Yes,H has a relation with C through X.,True,Yes
158,B U H.,U is a subproperty of C.,"Given the previous statements, does B have a relation with H through C?",Yes,B has a relation with H through C.,True,Yes
321,D W Q.,W is a subproperty of Z.,"Given the previous statements, does D have a relation with Q through Z?",Yes,D has a relation with Q through Z.,True,Yes
349,D A I.,A is a subproperty of K.,"Given the previous statements, does D have a relation with I through K?",Yes,D has a relation with I through K.,True,Yes
1981,J T I.,T is a subproperty of F.,"Given the previous statements, does J have a relation with I through X?",No,J does not have relation with I through X.,False,Yes
1256,C N I.,N is a subproperty of O.,"Given the previous statements, does C have a relation with I through L?",No,C does not have relation with I through L.,False,Yes
1937,J G K.,G is a subproperty of P.,"Given the previous statements, does J have a relation with K through R?",No,J does not have relation with K through R.,False,Yes
494,E W J.,W is a subproperty of P.,"Given the previous statements, does E have a relation with J through P?",Yes,E has a relation with J through P.,True,Yes
1413,E Z W.,Z is a subproperty of V.,"Given the previous statements, does E have a relation with W through I?",No,E does not have relation with W through I.,False,Yes
1483,E I W.,I is a subproperty of M.,"Given the previous statements, does E have a relation with W through O?",No,E does not have relation with W through O.,False,Yes
607,G F U.,F is a subproperty of A.,"Given the previous statements, does G have a relation with U through A?",Yes,G has a relation with U through A.,True,Yes
796,H X J.,X is a subproperty of D.,"Given the previous statements, does H have a relation with J through D?",Yes,H has a relation with J through D.,True,Yes
1103,B W X.,W is a subproperty of J.,"Given the previous statements, does B have a relation with X through L?",No,B does not have relation with X through L.,False,Yes
1759,H X P.,X is a subproperty of U.,"Given the previous statements, does H have a relation with P through T?",No,H does not have relation with P through T.,False,Yes
1581,F J T.,J is a subproperty of X.,"Given the previous statements, does F have a relation with T through G?",No,F does not have relation with T through G.,False,Yes
183,B X W.,X is a subproperty of T.,"Given the previous statements, does B have a relation with W through T?",Yes,B has a relation with W through T.,True,Yes
179,B G K.,G is a subproperty of E.,"Given the previous statements, does B have a relation with K through E?",Yes,B has a relation with K through E.,True,Yes
417,E C H.,C is a subproperty of X.,"Given the previous statements, does E have a relation with H through X?",Yes,E has a relation with H through X.,True,Yes
919,J L Q.,L is a subproperty of K.,"Given the previous statements, does J have a relation with Q through K?",Yes,J has a relation with Q through K.,True,Yes
1456,E Y Z.,Y is a subproperty of K.,"Given the previous statements, does E have a relation with Z through Q?",No,E does not have relation with Z through Q.,False,Yes
1087,A O U.,O is a subproperty of B.,"Given the previous statements, does A have a relation with U through H?",No,A does not have relation with U through H.,False,Yes
1351,D P B.,P is a subproperty of C.,"Given the previous statements, does D have a relation with B through V?",No,D does not have relation with B through V.,False,Yes
171,B D G.,D is a subproperty of Q.,"Given the previous statements, does B have a relation with G through Q?",Yes,B has a relation with G through Q.,True,Yes
1724,H F K.,F is a subproperty of Z.,"Given the previous statements, does H have a relation with K through N?",No,H does not have relation with K through N.,False,Yes
109,B X G.,X is a subproperty of Q.,"Given the previous statements, does B have a relation with G through Q?",Yes,B has a relation with G through Q.,True,Yes
212,C Z R.,Z is a subproperty of T.,"Given the previous statements, does C have a relation with R through T?",Yes,C has a relation with R through T.,True,Yes
537,F S Q.,S is a subproperty of U.,"Given the previous statements, does F have a relation with Q through U?",Yes,F has a relation with Q through U.,True,Yes
683,G J Z.,J is a subproperty of D.,"Given the previous statements, does G have a relation with Z through D?",Yes,G has a relation with Z through D.,True,Yes
1887,I X O.,X is a subproperty of S.,"Given the previous statements, does I have a relation with O through J?",No,I does not have relation with O through J.,False,Yes
596,F H E.,H is a subproperty of L.,"Given the previous statements, does F have a relation with E through L?",Yes,F has a relation with E through L.,True,Yes
1272,C E S.,E is a subproperty of F.,"Given the previous statements, does C have a relation with S through I?",No,C does not have relation with S through I.,False,Yes
14,A G E.,G is a subproperty of V.,"Given the previous statements, does A have a relation with E through V?",Yes,A has a relation with E through V.,True,Yes
984,J N T.,N is a subproperty of Z.,"Given the previous statements, does J have a relation with T through Z?",Yes,J has a relation with T through Z.,True,Yes
1776,H O W.,O is a subproperty of Y.,"Given the previous statements, does H have a relation with W through U?",No,H does not have relation with W through U.,False,Yes
872,I O L.,O is a subproperty of T.,"Given the previous statements, does I have a relation with L through T?",Yes,I has a relation with L through T.,True,Yes
88,A F E.,F is a subproperty of D.,"Given the previous statements, does A have a relation with E through D?",Yes,A has a relation with E through D.,True,Yes
1865,I A Y.,A is a subproperty of B.,"Given the previous statements, does I have a relation with Y through O?",No,I does not have relation with Y through O.,False,I
863,I R N.,R is a subproperty of Y.,"Given the previous statements, does I have a relation with N through Y?",Yes,I has a relation with N through Y.,True,Yes
1307,D V G.,V is a subproperty of E.,"Given the previous statements, does D have a relation with G through I?",No,D does not have relation with G through I.,False,Yes
1017,A K H.,K is a subproperty of B.,"Given the previous statements, does A have a relation with H through D?",No,A does not have relation with H through D.,False,Yes
666,G M Q.,M is a subproperty of K.,"Given the previous statements, does G have a relation with Q through K?",Yes,G has a relation with Q through K.,True,Yes
54,A X V.,X is a subproperty of J.,"Given the previous statements, does A have a relation with V through J?",Yes,A has a relation with V through J.,True,Yes
1709,H Y N.,Y is a subproperty of U.,"Given the previous statements, does H have a relation with N through A?",No,H does not have relation with N through A.,False,Yes
1082,A W Q.,W is a subproperty of P.,"Given the previous statements, does A have a relation with Q through R?",No,A does not have relation with Q through R.,False,Yes
1668,G T O.,T is a subproperty of H.,"Given the previous statements, does G have a relation with O through E?",No,G does not have relation with O through E.,False,Yes
1686,G S N.,S is a subproperty of E.,"Given the previous statements, does G have a relation with N through P?",No,G does not have relation with N through P.,False,Yes
50,A K X.,K is a subproperty of L.,"Given the previous statements, does A have a relation with X through L?",Yes,A has a relation with X through L.,True,Yes
1987,J A U.,A is a subproperty of W.,"Given the previous statements, does J have a relation with U through X?",No,J does not have relation with U through X.,False,Yes
1535,F V Y.,V is a subproperty of X.,"Given the previous statements, does F have a relation with Y through Z?",No,F does not have relation with Y through Z.,False,Yes
971,J B U.,B is a subproperty of O.,"Given the previous statements, does J have a relation with U through O?",Yes,J has a relation with U through O.,True,Yes
1248,C Y Z.,Y is a subproperty of G.,"Given the previous statements, does C have a relation with Z through R?",No,C does not have relation with Z through R.,False,Yes
1966,J S Y.,S is a subproperty of R.,"Given the previous statements, does J have a relation with Y through E?",No,J does not have relation with Y through E.,False,Yes
1281,C Z F.,Z is a subproperty of V.,"Given the previous statements, does C have a relation with F through W?",No,C does not have relation with F through W.,False,Yes
305,D I E.,I is a subproperty of M.,"Given the previous statements, does D have a relation with E through M?",Yes,D has a relation with E through M.,True,Yes
1628,G J F.,J is a subproperty of K.,"Given the previous statements, does G have a relation with F through L?",No,G does not have relation with F through L.,False,Yes
1247,C E P.,E is a subproperty of R.,"Given the previous statements, does C have a relation with P through V?",No,C does not have relation with P through V.,False,Yes
409,E B S.,B is a subproperty of Y.,"Given the previous statements, does E have a relation with S through Y?",Yes,E has a relation with S through Y.,True,Yes
1951,J D H.,D is a subproperty of P.,"Given the previous statements, does J have a relation with H through R?",No,J does not have relation with H through R.,False,Yes
1121,B W H.,W is a subproperty of R.,"Given the previous statements, does B have a relation with H through V?",No,B does not have relation with H through V.,False,Yes
1553,F H N.,H is a subproperty of Q.,"Given the previous statements, does F have a relation with N through E?",No,F does not have relation with N through E.,False,Yes
1164,B Y J.,Y is a subproperty of F.,"Given the previous statements, does B have a relation with J through H?",No,B does not have relation with J through H.,False,Yes
359,D B P.,B is a subproperty of C.,"Given the previous statements, does D have a relation with P through C?",Yes,D has a relation with P through C.,True,Yes
916,J A R.,A is a subproperty of L.,"Given the previous statements, does J have a relation with R through L?",Yes,J has a relation with R through L.,True,Yes
1902,J E I.,E is a subproperty of G.,"Given the previous statements, does J have a relation with I through B?",No,J does not have relation with I through B.,False,Yes
1192,B E V.,E is a subproperty of L.,"Given the previous statements, does B have a relation with V through H?",No,B does not have relation with V through H.,False,Yes
1728,H P E.,P is a subproperty of D.,"Given the previous statements, does H have a relation with E through X?",No,H does not have relation with E through X.,False,Yes
44,A K B.,K is a subproperty of Y.,"Given the previous statements, does A have a relation with B through Y?",Yes,A has a relation with B through Y.,True,Yes
567,F V C.,V is a subproperty of Q.,"Given the previous statements, does F have a relation with C through Q?",Yes,F has a relation with C through Q.,True,Yes
8,A D V.,D is a subproperty of B.,"Given the previous statements, does A have a relation with V through B?",Yes,A has a relation with V through B.,True,Yes
849,I P T.,P is a subproperty of D.,"Given the previous statements, does I have a relation with T through D?",Yes,I has a relation with T through D.,True,No
902,J R S.,R is a subproperty of Y.,"Given the previous statements, does J have a relation with S through Y?",Yes,J has a relation with S through Y.,True,Yes
492,E W L.,W is a subproperty of R.,"Given the previous statements, does E have a relation with L through R?",Yes,E has a relation with L through R.,True,Yes
1629,G B J.,B is a subproperty of C.,"Given the previous statements, does G have a relation with J through D?",No,G does not have relation with J through D.,False,Yes
328,D T E.,T is a subproperty of V.,"Given the previous statements, does D have a relation with E through V?",Yes,D has a relation with E through V.,True,Yes
851,I T B.,T is a subproperty of S.,"Given the previous statements, does I have a relation with B through S?",Yes,I has a relation with B through S.,True,Yes
1699,G B D.,B is a subproperty of A.,"Given the previous statements, does G have a relation with D through L?",No,G does not have relation with D through L.,False,Yes
1324,D Z G.,Z is a subproperty of F.,"Given the previous statements, does D have a relation with G through H?",No,D does not have relation with G through H.,False,Yes
421,E G Y.,G is a subproperty of V.,"Given the previous statements, does E have a relation with Y through V?",Yes,E has a relation with Y through V.,True,Yes
600,F Z W.,Z is a subproperty of O.,"Given the previous statements, does F have a relation with W through O?",Yes,F has a relation with W through O.,True,Yes
786,H C M.,C is a subproperty of P.,"Given the previous statements, does H have a relation with M through P?",Yes,H has a relation with M through P.,True,Yes
911,J C Q.,C is a subproperty of O.,"Given the previous statements, does J have a relation with Q through O?",Yes,J has a relation with Q through O.,True,Yes
1490,E S Q.,S is a subproperty of G.,"Given the previous statements, does E have a relation with Q through A?",No,E does not have relation with Q through A.,False,Yes
288,C O Z.,O is a subproperty of B.,"Given the previous statements, does C have a relation with Z through B?",Yes,C has a relation with Z through B.,True,Yes
1138,B N O.,N is a subproperty of Z.,"Given the previous statements, does B have a relation with O through V?",No,B does not have relation with O through V.,False,Yes
946,J Q G.,Q is a subproperty of L.,"Given the previous statements, does J have a relation with G through L?",Yes,J has a relation with G through L.,True,Yes
1249,C N Y.,N is a subproperty of G.,"Given the previous statements, does C have a relation with Y through F?",No,C does not have relation with Y through F.,False,Yes
665,G A K.,A is a subproperty of B.,"Given the previous statements, does G have a relation with K through B?",Yes,G has a relation with K through B.,True,Yes
1156,B T S.,T is a subproperty of Y.,"Given the previous statements, does B have a relation with S through M?",No,B does not have relation with S through M.,False,Yes
1954,J H B.,H is a subproperty of C.,"Given the previous statements, does J have a relation with B through P?",No,J does not have relation with B through P.,False,Yes
430,E Y U.,Y is a subproperty of D.,"Given the previous statements, does E have a relation with U through D?",Yes,E has a relation with U through D.,True,Yes
882,I V Q.,V is a subproperty of J.,"Given the previous statements, does I have a relation with Q through J?",Yes,I has a relation with Q through J.,True,Yes
1200,B U T.,U is a subproperty of Y.,"Given the previous statements, does B have a relation with T through X?",No,B does not have relation with T through X.,False,Yes
1419,E J D.,J is a subproperty of X.,"Given the previous statements, does E have a relation with D through H?",No,E does not have relation with D through H.,False,Yes
217,C S J.,S is a subproperty of O.,"Given the previous statements, does C have a relation with J through O?",Yes,C has a relation with J through O.,True,Yes
782,H T K.,T is a subproperty of F.,"Given the previous statements, does H have a relation with K through F?",Yes,H has a relation with K through F.,True,Yes
36,A I O.,I is a subproperty of E.,"Given the previous statements, does A have a relation with O through E?",Yes,A has a relation with O through E.,True,Yes
347,D S P.,S is a subproperty of N.,"Given the previous statements, does D have a relation with P through N?",Yes,D has a relation with P through N.,True,Yes
1795,H E K.,E is a subproperty of Q.,"Given the previous statements, does H have a relation with K through U?",No,H does not have relation with K through U.,False,Yes
1754,H W E.,W is a subproperty of F.,"Given the previous statements, does H have a relation with E through L?",No,H does not have relation with E through L.,False,Yes
1254,C P N.,P is a subproperty of T.,"Given the previous statements, does C have a relation with N through Q?",No,C does not have relation with N through Q.,False,Yes
1091,A Y I.,Y is a subproperty of P.,"Given the previous statements, does A have a relation with I through L?",No,A does not have relation with I through L.,False,Yes
1448,E S V.,S is a subproperty of R.,"Given the previous statements, does E have a relation with V through Q?",No,E does not have relation with V through Q.,False,Yes
521,F B O.,B is a subproperty of R.,"Given the previous statements, does F have a relation with O through R?",Yes,F has a relation with O through R.,True,Yes
1909,J D I.,D is a subproperty of Q.,"Given the previous statements, does J have a relation with I through T?",No,J does not have relation with I through T.,False,Yes
1618,G I L.,I is a subproperty of B.,"Given the previous statements, does G have a relation with L through S?",No,G does not have relation with L through S.,False,Yes
837,I B D.,B is a subproperty of H.,"Given the previous statements, does I have a relation with D through H?",Yes,I has a relation with D through H.,True,Yes
1063,A D Q.,D is a subproperty of W.,"Given the previous statements, does A have a relation with Q through X?",No,A does not have relation with Q through X.,False,Yes
1223,C O R.,O is a subproperty of E.,"Given the previous statements, does C have a relation with R through I?",No,C does not have relation with R through I.,False,Yes
1175,B C Q.,C is a subproperty of U.,"Given the previous statements, does B have a relation with Q through Z?",No,B does not have relation with Q through Z.,False,Yes
129,B F X.,F is a subproperty of S.,"Given the previous statements, does B have a relation with X through S?",Yes,B has a relation with X through S.,True,Yes
1209,C H J.,H is a subproperty of A.,"Given the previous statements, does C have a relation with J through S?",No,C does not have relation with J through S.,False,Yes
226,C U M.,U is a subproperty of Z.,"Given the previous statements, does C have a relation with M through Z?",Yes,C has a relation with M through Z.,True,Yes
308,D P M.,P is a subproperty of L.,"Given the previous statements, does D have a relation with M through L?",Yes,D has a relation with M through L.,True,Yes
813,I V K.,V is a subproperty of E.,"Given the previous statements, does I have a relation with K through E?",Yes,I has a relation with K through E.,True,Yes
1370,D R F.,R is a subproperty of H.,"Given the previous statements, does D have a relation with F through K?",No,D does not have relation with F through K.,False,Yes
1444,E D U.,D is a subproperty of I.,"Given the previous statements, does E have a relation with U through Q?",No,E does not have relation with U through Q.,False,Yes
543,F X N.,X is a subproperty of K.,"Given the previous statements, does F have a relation with N through K?",Yes,F has a relation with N through K.,True,Yes
447,E S D.,S is a subproperty of K.,"Given the previous statements, does E have a relation with D through K?",Yes,E has a relation with D through K.,True,Yes
671,G M L.,M is a subproperty of Q.,"Given the previous statements, does G have a relation with L through Q?",Yes,G has a relation with L through Q.,True,Yes
966,J Y P.,Y is a subproperty of Q.,"Given the previous statements, does J have a relation with P through Q?",Yes,J has a relation with P through Q.,True,Yes
1260,C P J.,P is a subproperty of H.,"Given the previous statements, does C have a relation with J through N?",No,C does not have relation with J through N.,False,Yes
324,D I K.,I is a subproperty of A.,"Given the previous statements, does D have a relation with K through A?",Yes,D has a relation with K through A.,True,Yes
819,I Z B.,Z is a subproperty of T.,"Given the previous statements, does I have a relation with B through T?",Yes,I has a relation with B through T.,True,Yes
728,H M K.,M is a subproperty of X.,"Given the previous statements, does H have a relation with K through X?",Yes,H has a relation with K through X.,True,Yes
1173,B O C.,O is a subproperty of U.,"Given the previous statements, does B have a relation with C through Z?",No,B does not have relation with C through Z.,False,Yes
1222,C W Q.,W is a subproperty of J.,"Given the previous statements, does C have a relation with Q through K?",No,C does not have relation with Q through K.,False,Yes
436,E P Y.,P is a subproperty of K.,"Given the previous statements, does E have a relation with Y through K?",Yes,E has a relation with Y through K.,True,Yes
1072,A N T.,N is a subproperty of I.,"Given the previous statements, does A have a relation with T through P?",No,A does not have relation with T through P.,False,Yes
688,G Y D.,Y is a subproperty of J.,"Given the previous statements, does G have a relation with D through J?",Yes,G has a relation with D through J.,True,Yes
310,D A R.,A is a subproperty of G.,"Given the previous statements, does D have a relation with R through G?",Yes,D has a relation with R through G.,True,Yes
1402,E M U.,M is a subproperty of R.,"Given the previous statements, does E have a relation with U through D?",No,E does not have relation with U through D.,False,Yes
798,H Q V.,Q is a subproperty of U.,"Given the previous statements, does H have a relation with V through U?",Yes,H has a relation with V through U.,True,Yes
1736,H I Q.,I is a subproperty of O.,"Given the previous statements, does H have a relation with Q through C?",No,H does not have relation with Q through C.,False,Yes
7,A V F.,V is a subproperty of P.,"Given the previous statements, does A have a relation with F through P?",Yes,A has a relation with F through P.,True,Yes
1878,I M U.,M is a subproperty of V.,"Given the previous statements, does I have a relation with U through D?",No,I does not have relation with U through D.,False,Yes
448,E D Y.,D is a subproperty of C.,"Given the previous statements, does E have a relation with Y through C?",Yes,E has a relation with Y through C.,True,Yes
785,H S B.,S is a subproperty of I.,"Given the previous statements, does H have a relation with B through I?",Yes,H has a relation with B through I.,True,Yes
374,D V P.,V is a subproperty of O.,"Given the previous statements, does D have a relation with P through O?",Yes,D has a relation with P through O.,True,Yes
648,G T A.,T is a subproperty of J.,"Given the previous statements, does G have a relation with A through J?",Yes,G has a relation with A through J.,True,Yes
730,H K L.,K is a subproperty of T.,"Given the previous statements, does H have a relation with L through T?",Yes,H has a relation with L through T.,True,Yes
1556,F Q R.,Q is a subproperty of P.,"Given the previous statements, does F have a relation with R through H?",No,F does not have relation with R through H.,False,Yes
62,A Y W.,Y is a subproperty of X.,"Given the previous statements, does A have a relation with W through X?",Yes,A has a relation with W through X.,True,Yes
86,A X L.,X is a subproperty of K.,"Given the previous statements, does A have a relation with L through K?",Yes,A has a relation with L through K.,True,Yes
1099,A S R.,S is a subproperty of D.,"Given the previous statements, does A have a relation with R through P?",No,A does not have relation with R through P.,False,Yes
639,G M H.,M is a subproperty of C.,"Given the previous statements, does G have a relation with H through C?",Yes,G has a relation with H through C.,True,Yes
878,I R C.,R is a subproperty of W.,"Given the previous statements, does I have a relation with C through W?",Yes,I has a relation with C through W.,True,Yes
1457,E C M.,C is a subproperty of X.,"Given the previous statements, does E have a relation with M through V?",No,E does not have relation with M through V.,False,Yes
108,B T W.,T is a subproperty of M.,"Given the previous statements, does B have a relation with W through M?",Yes,B has a relation with W through M.,True,Yes
502,F P C.,P is a subproperty of R.,"Given the previous statements, does F have a relation with C through R?",Yes,F has a relation with C through R.,True,Yes
1289,C F Y.,F is a subproperty of Z.,"Given the previous statements, does C have a relation with Y through E?",No,C does not have relation with Y through E.,False,Yes
1505,F J C.,J is a subproperty of H.,"Given the previous statements, does F have a relation with C through B?",No,F does not have relation with C through B.,False,Yes
208,C K F.,K is a subproperty of Q.,"Given the previous statements, does C have a relation with F through Q?",Yes,C has a relation with F through Q.,True,Yes
964,J M Y.,M is a subproperty of B.,"Given the previous statements, does J have a relation with Y through B?",Yes,J has a relation with Y through B.,True,Yes
