ID,triple1,triple2,question,answer,inferred triple,label
1,A is a S.,S is disjoint with X.,"Given the previous statements, is A not a X?",Yes,A is not a X.,True
2,A is a H.,H is disjoint with L.,"Given the previous statements, is A not a L?",Yes,A is not a L.,True
3,A is a Q.,Q is disjoint with P.,"Given the previous statements, is A not a P?",Yes,A is not a P.,True
4,A is a Z.,Z is disjoint with I.,"Given the previous statements, is A not a I?",Yes,A is not a I.,True
5,A is a I.,I is disjoint with G.,"Given the previous statements, is A not a G?",Yes,A is not a G.,True
6,A is a V.,V is disjoint with C.,"Given the previous statements, is A not a C?",Yes,A is not a C.,True
7,A is a J.,J is disjoint with W.,"Given the previous statements, is A not a W?",Yes,A is not a W.,True
8,A is a W.,W is disjoint with F.,"Given the previous statements, is A not a F?",Yes,A is not a F.,True
9,A is a E.,E is disjoint with Q.,"Given the previous statements, is A not a Q?",Yes,A is not a Q.,True
10,A is a Z.,Z is disjoint with D.,"Given the previous statements, is A not a D?",Yes,A is not a D.,True
11,A is a V.,V is disjoint with H.,"Given the previous statements, is A not a H?",Yes,A is not a H.,True
12,B is a S.,S is disjoint with V.,"Given the previous statements, is B not a V?",Yes,B is not a V.,True
13,B is a E.,E is disjoint with A.,"Given the previous statements, is B not a A?",Yes,B is not a A.,True
14,B is a K.,K is disjoint with X.,"Given the previous statements, is B not a X?",Yes,B is not a X.,True
15,B is a K.,K is disjoint with D.,"Given the previous statements, is B not a D?",Yes,B is not a D.,True
16,B is a U.,U is disjoint with M.,"Given the previous statements, is B not a M?",Yes,B is not a M.,True
17,B is a M.,M is disjoint with W.,"Given the previous statements, is B not a W?",Yes,B is not a W.,True
18,B is a F.,F is disjoint with I.,"Given the previous statements, is B not a I?",Yes,B is not a I.,True
19,B is a A.,A is disjoint with S.,"Given the previous statements, is B not a S?",Yes,B is not a S.,True
20,B is a D.,D is disjoint with L.,"Given the previous statements, is B not a L?",Yes,B is not a L.,True
21,B is a A.,A is disjoint with L.,"Given the previous statements, is B not a L?",Yes,B is not a L.,True
22,B is a P.,P is disjoint with K.,"Given the previous statements, is B not a K?",Yes,B is not a K.,True
23,C is a W.,W is disjoint with P.,"Given the previous statements, is C not a P?",Yes,C is not a P.,True
24,C is a I.,I is disjoint with N.,"Given the previous statements, is C not a N?",Yes,C is not a N.,True
25,C is a D.,D is disjoint with J.,"Given the previous statements, is C not a J?",Yes,C is not a J.,True
26,C is a K.,K is disjoint with R.,"Given the previous statements, is C not a R?",Yes,C is not a R.,True
27,C is a J.,J is disjoint with Z.,"Given the previous statements, is C not a Z?",Yes,C is not a Z.,True
