ID,triple1,triple2,question,answer,inferred triple,label
1,CaMia Hopson is a Person.,Person is disjoint with Activity.,"Given the previous statements, is CaMia Hopson not an Activity?",Yes,CaMia Hopson is not an Activity.,True
2,Cab Calloway is a Person.,Person is disjoint with Activity.,"Given the previous statements, is Cab Calloway not an Activity?",Yes,Cab Calloway is not an Activity.,True
3,Cab Kaye is a Person.,Person is disjoint with Activity.,"Given the previous statements, is Cab Kaye not an Activity?",Yes,Cab Kaye is not an Activity.,True
4,Cabal of Naples is a Person.,Person is disjoint with Activity.,"Given the previous statements, is Cabal of Naples not an Activity?",Yes,Cabal of Naples is not an Activity.,True
5,Cabassous is a Person.,Person is disjoint with Activity.,"Given the previous statements, is Cabassous not an Activity?",Yes,Cabassous is not an Activity.,True
6,Ca' Rezzonico is a Place.,Place is disjoint with Agent.,"Given the previous statements, is Ca' Rezzonico not an Agent?",Yes,Ca' Rezzonico is not an Agent.,True
7,Ca' d'Andrea is a Place.,Place is disjoint with Agent.,"Given the previous statements, is Ca' d'Andrea not an Agent?",Yes,Ca' d'Andrea is not an Agent.,True
8,Ca' d'Zan is a Place.,Place is disjoint with Agent.,"Given the previous statements, is Ca' d'Zan not an Agent?",Yes,Ca' d'Zan is not an Agent.,True
9,"Ca Goulmie, Port-Salut, Haiti is a Place.",Place is disjoint with Agent.,"Given the previous statements, is Ca Goulmie, Port-Salut, Haiti not an Agent?",Yes,"Ca Goulmie, Port-Salut, Haiti is not an Agent.",True
10,Ca Pierre is a Place.,Place is disjoint with Agent.,"Given the previous statements, is Ca Pierre not an Agent?",Yes,Ca Pierre is not an Agent.,True
11,CaMia Hopson is a Person.,Person is disjoint with MeanOfTransportation.,"Given the previous statements, is CaMia Hopson not a MeanOfTransportation?",Yes,CaMia Hopson is not a MeanOfTransportation.,True
12,Cab Calloway is a Person.,Person is disjoint with MeanOfTransportation.,"Given the previous statements, is Cab Calloway not a MeanOfTransportation?",Yes,Cab Calloway is not a MeanOfTransportation.,True
13,Cab Kaye is a Person.,Person is disjoint with MeanOfTransportation.,"Given the previous statements, is Cab Kaye not a MeanOfTransportation?",Yes,Cab Kaye is not a MeanOfTransportation.,True
