ID,triple1,triple2,question,answer,inferred triple,label
1,Publisher is a subclass of Company.,Company is a subclass of Organisation.,"Given the previous statements, is Publisher a subclass of Organisation?",Yes,Publisher is a subclass of Organisation.,True
2,Brewery is a subclass of Company.,Company is a subclass of Organisation.,"Given the previous statements, is Brewery a subclass of Organisation?",Yes,Brewery is a subclass of Organisation.,True
3,PublicTransitSystem is a subclass of Company.,Company is a subclass of Organisation.,"Given the previous statements, is PublicTransitSystem a subclass of Organisation?",Yes,PublicTransitSystem is a subclass of Organisation.,True
4,Winery is a subclass of Company.,Company is a subclass of Organisation.,"Given the previous statements, is Winery a subclass of Organisation?",Yes,Winery is a subclass of Organisation.,True
5,LawFirm is a subclass of Company.,Company is a subclass of Organisation.,"Given the previous statements, is LawFirm a subclass of Organisation?",Yes,LawFirm is a subclass of Organisation.,True
6,Bank is a subclass of Company.,Company is a subclass of Organisation.,"Given the previous statements, is Bank a subclass of Organisation?",Yes,Bank is a subclass of Organisation.,True
7,RecordLabel is a subclass of Company.,Company is a subclass of Organisation.,"Given the previous statements, is RecordLabel a subclass of Organisation?",Yes,RecordLabel is a subclass of Organisation.,True
8,Caterer is a subclass of Company.,Company is a subclass of Organisation.,"Given the previous statements, is Caterer a subclass of Organisation?",Yes,Caterer is a subclass of Organisation.,True
9,OrganisationMember is a subclass of Person.,Person is a subclass of Animal.,"Given the previous statements, is OrganisationMember a subclass of Animal?",Yes,OrganisationMember is a subclass of Animal.,True
10,Academic is a subclass of Person.,Person is a subclass of Animal.,"Given the previous statements, is Academic a subclass of Animal?",Yes,Academic is a subclass of Animal.,True
11,Architect is a subclass of Person.,Person is a subclass of Animal.,"Given the previous statements, is Architect a subclass of Animal?",Yes,Architect is a subclass of Animal.,True
12,Astronaut is a subclass of Person.,Person is a subclass of Animal.,"Given the previous statements, is Astronaut a subclass of Animal?",Yes,Astronaut is a subclass of Animal.,True
13,Athlete is a subclass of Person.,Person is a subclass of Animal.,"Given the previous statements, is Athlete a subclass of Animal?",Yes,Athlete is a subclass of Animal.,True
14,BeautyQueen is a subclass of Person.,Person is a subclass of Animal.,"Given the previous statements, is BeautyQueen a subclass of Animal?",Yes,BeautyQueen is a subclass of Animal.,True
15,BusinessPerson is a subclass of Person.,Person is a subclass of Animal.,"Given the previous statements, is BusinessPerson a subclass of Animal?",Yes,BusinessPerson is a subclass of Animal.,True
16,Chef is a subclass of Person.,Person is a subclass of Animal.,"Given the previous statements, is Chef a subclass of Animal?",Yes,Chef is a subclass of Animal.,True
17,Cleric is a subclass of Person.,Person is a subclass of Animal.,"Given the previous statements, is Cleric a subclass of Animal?",Yes,Cleric is a subclass of Animal.,True
18,Economist is a subclass of Person.,Person is a subclass of Animal.,"Given the previous statements, is Economist a subclass of Animal?",Yes,Economist is a subclass of Animal.,True
19,AdultActor is a subclass of Actor.,Actor is a subclass of Artist.,"Given the previous statements, is AdultActor a subclass of Artist?",Yes,AdultActor is a subclass of Artist.,True
20,VoiceActor is a subclass of Actor.,Actor is a subclass of Artist.,"Given the previous statements, is VoiceActor a subclass of Artist?",Yes,VoiceActor is a subclass of Artist.,True
21,MusicGenre is a subclass of Genre.,Genre is a subclass of TopicalConcept.,"Given the previous statements, is MusicGenre a subclass of TopicalConcept?",Yes,MusicGenre is a subclass of TopicalConcept.,True
22,ArtisticGenre is a subclass of Genre.,Genre is a subclass of TopicalConcept.,"Given the previous statements, is ArtisticGenre a subclass of TopicalConcept?",Yes,ArtisticGenre is a subclass of TopicalConcept.,True
23,LiteraryGenre is a subclass of Genre.,Genre is a subclass of TopicalConcept.,"Given the previous statements, is LiteraryGenre a subclass of TopicalConcept?",Yes,LiteraryGenre is a subclass of TopicalConcept.,True
24,MovieGenre is a subclass of Genre.,Genre is a subclass of TopicalConcept.,"Given the previous statements, is MovieGenre a subclass of TopicalConcept?",Yes,MovieGenre is a subclass of TopicalConcept.,True
25,OverseasDepartment is a subclass of Department.,Department is a subclass of GovernmentalAdministrativeRegion.,"Given the previous statements, is OverseasDepartment a subclass of GovernmentalAdministrativeRegion?",Yes,OverseasDepartment is a subclass of GovernmentalAdministrativeRegion.,True
26,opengraph#Application is a subclass of Software.,Software is a subclass of Work.,"Given the previous statements, is opengraph#Application a subclass of Work?",Yes,opengraph#Application is a subclass of Work.,True
27,VideoGame is a subclass of Software.,Software is a subclass of Work.,"Given the previous statements, is VideoGame a subclass of Work?",Yes,VideoGame is a subclass of Work.,True
28,DocumentType is a subclass of Type.,Type is a subclass of TopicalConcept.,"Given the previous statements, is DocumentType a subclass of TopicalConcept?",Yes,DocumentType is a subclass of TopicalConcept.,True
29,GovernmentType is a subclass of Type.,Type is a subclass of TopicalConcept.,"Given the previous statements, is GovernmentType a subclass of TopicalConcept?",Yes,GovernmentType is a subclass of TopicalConcept.,True
30,RecordOffice is a subclass of Non-ProfitOrganisation.,Non-ProfitOrganisation is a subclass of Organisation.,"Given the previous statements, is RecordOffice a subclass of Organisation?",Yes,RecordOffice is a subclass of Organisation.,True
31,BroadcastNetwork is a subclass of Broadcaster.,Broadcaster is a subclass of Organisation.,"Given the previous statements, is BroadcastNetwork a subclass of Organisation?",Yes,BroadcastNetwork is a subclass of Organisation.,True
32,RadioStation is a subclass of Broadcaster.,Broadcaster is a subclass of Organisation.,"Given the previous statements, is RadioStation a subclass of Organisation?",Yes,RadioStation is a subclass of Organisation.,True
33,TelevisionStation is a subclass of Broadcaster.,Broadcaster is a subclass of Organisation.,"Given the previous statements, is TelevisionStation a subclass of Organisation?",Yes,TelevisionStation is a subclass of Organisation.,True
34,HollywoodCartoon is a subclass of Cartoon.,Cartoon is a subclass of work.,"Given the previous statements, is HollywoodCartoon a subclass of work?",Yes,HollywoodCartoon is a subclass of work.,True
35,Anime is a subclass of Cartoon.,Cartoon is a subclass of work.,"Given the previous statements, is Anime a subclass of work?",Yes,Anime is a subclass of work.,True
36,LegalCase is a subclass of Case.,Case is a subclass of UnitOfWork.,"Given the previous statements, is LegalCase a subclass of UnitOfWork?",Yes,LegalCase is a subclass of UnitOfWork.,True
