ID,triple1,triple2,question,answer,inferred triple,label
1,A is a N.,N is an equivalent class of Q.,"Given the previous statements, is A a Q?",Yes,A is a Q.,True
2,A is a K.,K is an equivalent class of U.,"Given the previous statements, is A a U?",Yes,A is a U.,True
3,A is a Q.,Q is an equivalent class of O.,"Given the previous statements, is A a O?",Yes,A is a O.,True
4,A is a D.,D is an equivalent class of T.,"Given the previous statements, is A a T?",Yes,A is a T.,True
5,A is a G.,G is an equivalent class of L.,"Given the previous statements, is A a L?",Yes,A is a L.,True
6,A is a X.,X is an equivalent class of M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
7,A is a U.,U is an equivalent class of G.,"Given the previous statements, is A a G?",Yes,A is a G.,True
8,A is a R.,R is an equivalent class of V.,"Given the previous statements, is A a V?",Yes,A is a V.,True
9,A is a P.,P is an equivalent class of N.,"Given the previous statements, is A a N?",Yes,A is a N.,True
10,A is a R.,R is an equivalent class of M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
11,A is a L.,L is an equivalent class of V.,"Given the previous statements, is A a V?",Yes,A is a V.,True
12,A is a S.,S is an equivalent class of V.,"Given the previous statements, is A a V?",Yes,A is a V.,True
13,A is a I.,I is an equivalent class of F.,"Given the previous statements, is A a F?",Yes,A is a F.,True
14,A is a C.,C is an equivalent class of N.,"Given the previous statements, is A a N?",Yes,A is a N.,True
15,A is a Q.,Q is an equivalent class of S.,"Given the previous statements, is A a S?",Yes,A is a S.,True
16,A is a X.,X is an equivalent class of W.,"Given the previous statements, is A a W?",Yes,A is a W.,True
17,A is a K.,K is an equivalent class of F.,"Given the previous statements, is A a F?",Yes,A is a F.,True
18,A is a Z.,Z is an equivalent class of M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
19,A is a Q.,Q is an equivalent class of Y.,"Given the previous statements, is A a Y?",Yes,A is a Y.,True
20,A is a B.,B is an equivalent class of M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
21,A is a Q.,Q is an equivalent class of M.,"Given the previous statements, is A a M?",Yes,A is a M.,True
22,A is a G.,G is an equivalent class of W.,"Given the previous statements, is A a W?",Yes,A is a W.,True
23,A is a H.,H is an equivalent class of N.,"Given the previous statements, is A a N?",Yes,A is a N.,True
24,A is a C.,C is an equivalent class of L.,"Given the previous statements, is A a L?",Yes,A is a L.,True
25,A is a F.,F is an equivalent class of Z.,"Given the previous statements, is A a Z?",Yes,A is a Z.,True
