ID,triple1,triple2,question,answer,inferred triple,label
1,A W I.,W has range O.,"Given the previous statements, is I a O?",Yes,I is a O.,True
2,A N F.,N has range V.,"Given the previous statements, is F a V?",Yes,F is a V.,True
3,A Q I.,Q has range D.,"Given the previous statements, is I a D?",Yes,I is a D.,True
4,A C F.,C has range G.,"Given the previous statements, is F a G?",Yes,F is a G.,True
5,A M F.,M has range L.,"Given the previous statements, is F a L?",Yes,F is a L.,True
6,A Z G.,Z has range D.,"Given the previous statements, is G a D?",Yes,G is a D.,True
7,A R H.,R has range F.,"Given the previous statements, is H a F?",Yes,H is a F.,True
8,A J I.,J has range C.,"Given the previous statements, is I a C?",Yes,I is a C.,True
9,A F I.,F has range L.,"Given the previous statements, is I a L?",Yes,I is a L.,True
10,A E G.,E has range N.,"Given the previous statements, is G a N?",Yes,G is a N.,True
11,A H Y.,H has range E.,"Given the previous statements, is Y a E?",Yes,Y is a E.,True
12,A X J.,X has range E.,"Given the previous statements, is J a E?",Yes,J is a E.,True
13,A L Z.,L has range D.,"Given the previous statements, is Z a D?",Yes,Z is a D.,True
14,A Z J.,Z has range E.,"Given the previous statements, is J a E?",Yes,J is a E.,True
15,A C P.,C has range N.,"Given the previous statements, is P a N?",Yes,P is a N.,True
16,A M X.,M has range T.,"Given the previous statements, is X a T?",Yes,X is a T.,True
17,A R S.,R has range L.,"Given the previous statements, is S a L?",Yes,S is a L.,True
18,A D B.,D has range O.,"Given the previous statements, is B a O?",Yes,B is a O.,True
19,A P W.,P has range Q.,"Given the previous statements, is W a Q?",Yes,W is a Q.,True
20,A N J.,N has range C.,"Given the previous statements, is J a C?",Yes,J is a C.,True
21,A L G.,L has range O.,"Given the previous statements, is G a O?",Yes,G is a O.,True
22,A U K.,U has range I.,"Given the previous statements, is K a I?",Yes,K is a I.,True
23,A D R.,D has range U.,"Given the previous statements, is R a U?",Yes,R is a U.,True
24,A R W.,R has range C.,"Given the previous statements, is W a C?",Yes,W is a C.,True
25,A P Z.,P has range T.,"Given the previous statements, is Z a T?",Yes,Z is a T.,True
26,A B P.,B has range M.,"Given the previous statements, is P a M?",Yes,P is a M.,True
27,A P V.,P has range O.,"Given the previous statements, is V a O?",Yes,V is a O.,True
28,A H P.,H has range G.,"Given the previous statements, is P a G?",Yes,P is a G.,True
29,A X O.,X has range Z.,"Given the previous statements, is O a Z?",Yes,O is a Z.,True
30,A L N.,L has range Y.,"Given the previous statements, is N a Y?",Yes,N is a Y.,True
31,A P X.,P has range W.,"Given the previous statements, is X a W?",Yes,X is a W.,True
32,A R G.,R has range O.,"Given the previous statements, is G a O?",Yes,G is a O.,True
33,A N E.,N has range Z.,"Given the previous statements, is E a Z?",Yes,E is a Z.,True
34,A D S.,D has range Q.,"Given the previous statements, is S a Q?",Yes,S is a Q.,True
35,A B T.,B has range Q.,"Given the previous statements, is T a Q?",Yes,T is a Q.,True
36,A W R.,W has range O.,"Given the previous statements, is R a O?",Yes,R is a O.,True
37,A D H.,D has range F.,"Given the previous statements, is H a F?",Yes,H is a F.,True
38,A Y P.,Y has range H.,"Given the previous statements, is P a H?",Yes,P is a H.,True
39,A P K.,P has range T.,"Given the previous statements, is K a T?",Yes,K is a T.,True
40,A K H.,K has range J.,"Given the previous statements, is H a J?",Yes,H is a J.,True
41,A V U.,V has range M.,"Given the previous statements, is U a M?",Yes,U is a M.,True
42,A S T.,S has range C.,"Given the previous statements, is T a C?",Yes,T is a C.,True
43,A L K.,L has range U.,"Given the previous statements, is K a U?",Yes,K is a U.,True
44,A G O.,G has range W.,"Given the previous statements, is O a W?",Yes,O is a W.,True
45,A S V.,S has range K.,"Given the previous statements, is V a K?",Yes,V is a K.,True
46,A Q U.,Q has range F.,"Given the previous statements, is U a F?",Yes,U is a F.,True
47,A Z X.,Z has range Q.,"Given the previous statements, is X a Q?",Yes,X is a Q.,True
48,A Q W.,Q has range F.,"Given the previous statements, is W a F?",Yes,W is a F.,True
49,A I Y.,I has range N.,"Given the previous statements, is Y a N?",Yes,Y is a N.,True
50,A M R.,M has range E.,"Given the previous statements, is R a E?",Yes,R is a E.,True
51,A Z Q.,Z has range D.,"Given the previous statements, is Q a D?",Yes,Q is a D.,True
52,A J D.,J has range F.,"Given the previous statements, is D a F?",Yes,D is a F.,True
53,A M C.,M has range V.,"Given the previous statements, is C a V?",Yes,C is a V.,True
54,A V D.,V has range I.,"Given the previous statements, is D a I?",Yes,D is a I.,True
55,A V D.,V has range S.,"Given the previous statements, is D a S?",Yes,D is a S.,True
56,A O X.,O has range I.,"Given the previous statements, is X a I?",Yes,X is a I.,True
57,A R C.,R has range D.,"Given the previous statements, is C a D?",Yes,C is a D.,True
58,A G F.,G has range X.,"Given the previous statements, is F a X?",Yes,F is a X.,True
59,A C Q.,C has range Y.,"Given the previous statements, is Q a Y?",Yes,Q is a Y.,True
60,A E I.,E has range H.,"Given the previous statements, is I a H?",Yes,I is a H.,True
61,A U W.,U has range G.,"Given the previous statements, is W a G?",Yes,W is a G.,True
62,A Z F.,Z has range U.,"Given the previous statements, is F a U?",Yes,F is a U.,True
63,A W O.,W has range K.,"Given the previous statements, is O a K?",Yes,O is a K.,True
64,A N U.,N has range G.,"Given the previous statements, is U a G?",Yes,U is a G.,True
65,A U S.,U has range K.,"Given the previous statements, is S a K?",Yes,S is a K.,True
66,A J H.,J has range C.,"Given the previous statements, is H a C?",Yes,H is a C.,True
67,A T D.,T has range N.,"Given the previous statements, is D a N?",Yes,D is a N.,True
68,A X B.,X has range V.,"Given the previous statements, is B a V?",Yes,B is a V.,True
69,A B J.,B has range H.,"Given the previous statements, is J a H?",Yes,J is a H.,True
70,A G L.,G has range H.,"Given the previous statements, is L a H?",Yes,L is a H.,True
71,A Q R.,Q has range F.,"Given the previous statements, is R a F?",Yes,R is a F.,True
72,A R I.,R has range P.,"Given the previous statements, is I a P?",Yes,I is a P.,True
73,A H S.,H has range T.,"Given the previous statements, is S a T?",Yes,S is a T.,True
74,A X C.,X has range H.,"Given the previous statements, is C a H?",Yes,C is a H.,True
75,A G Z.,G has range O.,"Given the previous statements, is Z a O?",Yes,Z is a O.,True
76,A T I.,T has range U.,"Given the previous statements, is I a U?",Yes,I is a U.,True
77,A T J.,T has range D.,"Given the previous statements, is J a D?",Yes,J is a D.,True
78,A W I.,W has range F.,"Given the previous statements, is I a F?",Yes,I is a F.,True
79,A W D.,W has range P.,"Given the previous statements, is D a P?",Yes,D is a P.,True
80,A Y M.,Y has range B.,"Given the previous statements, is M a B?",Yes,M is a B.,True
81,A N G.,N has range X.,"Given the previous statements, is G a X?",Yes,G is a X.,True
82,A G O.,G has range I.,"Given the previous statements, is O a I?",Yes,O is a I.,True
83,A J K.,J has range P.,"Given the previous statements, is K a P?",Yes,K is a P.,True
84,A L G.,L has range F.,"Given the previous statements, is G a F?",Yes,G is a F.,True
85,A Z V.,Z has range L.,"Given the previous statements, is V a L?",Yes,V is a L.,True
86,A Y T.,Y has range R.,"Given the previous statements, is T a R?",Yes,T is a R.,True
87,A Z V.,Z has range I.,"Given the previous statements, is V a I?",Yes,V is a I.,True
88,A N S.,N has range Q.,"Given the previous statements, is S a Q?",Yes,S is a Q.,True
89,A T H.,T has range C.,"Given the previous statements, is H a C?",Yes,H is a C.,True
90,A R I.,R has range C.,"Given the previous statements, is I a C?",Yes,I is a C.,True
91,A I V.,I has range U.,"Given the previous statements, is V a U?",Yes,V is a U.,True
92,A J S.,J has range C.,"Given the previous statements, is S a C?",Yes,S is a C.,True
93,A S R.,S has range J.,"Given the previous statements, is R a J?",Yes,R is a J.,True
