ID,triple1,triple2,question,answer,inferred triple,label
1,A J I.,J is a subproperty of D.,"Given the previous statements, does A have a relation with I through D?",Yes,A has a relation with I through D.,True
2,A U M.,U is a subproperty of Z.,"Given the previous statements, does A have a relation with M through Z?",Yes,A has a relation with M through Z.,True
3,A N W.,N is a subproperty of V.,"Given the previous statements, does A have a relation with W through V?",Yes,A has a relation with W through V.,True
4,A B M.,B is a subproperty of F.,"Given the previous statements, does A have a relation with M through F?",Yes,A has a relation with M through F.,True
5,A N F.,N is a subproperty of G.,"Given the previous statements, does A have a relation with F through G?",Yes,A has a relation with F through G.,True
6,A M Z.,M is a subproperty of E.,"Given the previous statements, does A have a relation with Z through E?",Yes,A has a relation with Z through E.,True
7,A V F.,V is a subproperty of P.,"Given the previous statements, does A have a relation with F through P?",Yes,A has a relation with F through P.,True
8,A D V.,D is a subproperty of B.,"Given the previous statements, does A have a relation with V through B?",Yes,A has a relation with V through B.,True
9,A S X.,S is a subproperty of J.,"Given the previous statements, does A have a relation with X through J?",Yes,A has a relation with X through J.,True
10,A S Y.,S is a subproperty of T.,"Given the previous statements, does A have a relation with Y through T?",Yes,A has a relation with Y through T.,True
11,A W E.,W is a subproperty of L.,"Given the previous statements, does A have a relation with E through L?",Yes,A has a relation with E through L.,True
12,A T G.,T is a subproperty of J.,"Given the previous statements, does A have a relation with G through J?",Yes,A has a relation with G through J.,True
13,A E O.,E is a subproperty of N.,"Given the previous statements, does A have a relation with O through N?",Yes,A has a relation with O through N.,True
14,A G E.,G is a subproperty of V.,"Given the previous statements, does A have a relation with E through V?",Yes,A has a relation with E through V.,True
15,A Q M.,Q is a subproperty of Z.,"Given the previous statements, does A have a relation with M through Z?",Yes,A has a relation with M through Z.,True
16,A X M.,X is a subproperty of O.,"Given the previous statements, does A have a relation with M through O?",Yes,A has a relation with M through O.,True
17,A C U.,C is a subproperty of Z.,"Given the previous statements, does A have a relation with U through Z?",Yes,A has a relation with U through Z.,True
18,A E W.,E is a subproperty of K.,"Given the previous statements, does A have a relation with W through K?",Yes,A has a relation with W through K.,True
19,A E F.,E is a subproperty of X.,"Given the previous statements, does A have a relation with F through X?",Yes,A has a relation with F through X.,True
20,A U S.,U is a subproperty of J.,"Given the previous statements, does A have a relation with S through J?",Yes,A has a relation with S through J.,True
21,A D F.,D is a subproperty of Y.,"Given the previous statements, does A have a relation with F through Y?",Yes,A has a relation with F through Y.,True
22,A S W.,S is a subproperty of Y.,"Given the previous statements, does A have a relation with W through Y?",Yes,A has a relation with W through Y.,True
23,A H S.,H is a subproperty of L.,"Given the previous statements, does A have a relation with S through L?",Yes,A has a relation with S through L.,True
24,A P Y.,P is a subproperty of W.,"Given the previous statements, does A have a relation with Y through W?",Yes,A has a relation with Y through W.,True
25,A Q H.,Q is a subproperty of D.,"Given the previous statements, does A have a relation with H through D?",Yes,A has a relation with H through D.,True
26,A Y Z.,Y is a subproperty of R.,"Given the previous statements, does A have a relation with Z through R?",Yes,A has a relation with Z through R.,True
27,A W Y.,W is a subproperty of G.,"Given the previous statements, does A have a relation with Y through G?",Yes,A has a relation with Y through G.,True
28,A W R.,W is a subproperty of Z.,"Given the previous statements, does A have a relation with R through Z?",Yes,A has a relation with R through Z.,True
29,A L N.,L is a subproperty of G.,"Given the previous statements, does A have a relation with N through G?",Yes,A has a relation with N through G.,True
30,A D M.,D is a subproperty of B.,"Given the previous statements, does A have a relation with M through B?",Yes,A has a relation with M through B.,True
31,A V C.,V is a subproperty of L.,"Given the previous statements, does A have a relation with C through L?",Yes,A has a relation with C through L.,True
32,A E L.,E is a subproperty of Y.,"Given the previous statements, does A have a relation with L through Y?",Yes,A has a relation with L through Y.,True
33,A S H.,S is a subproperty of V.,"Given the previous statements, does A have a relation with H through V?",Yes,A has a relation with H through V.,True
34,A O N.,O is a subproperty of J.,"Given the previous statements, does A have a relation with N through J?",Yes,A has a relation with N through J.,True
35,A X K.,X is a subproperty of U.,"Given the previous statements, does A have a relation with K through U?",Yes,A has a relation with K through U.,True
36,A I O.,I is a subproperty of E.,"Given the previous statements, does A have a relation with O through E?",Yes,A has a relation with O through E.,True
37,A C O.,C is a subproperty of V.,"Given the previous statements, does A have a relation with O through V?",Yes,A has a relation with O through V.,True
38,A P S.,P is a subproperty of T.,"Given the previous statements, does A have a relation with S through T?",Yes,A has a relation with S through T.,True
39,A V H.,V is a subproperty of T.,"Given the previous statements, does A have a relation with H through T?",Yes,A has a relation with H through T.,True
40,A P I.,P is a subproperty of H.,"Given the previous statements, does A have a relation with I through H?",Yes,A has a relation with I through H.,True
41,A T U.,T is a subproperty of C.,"Given the previous statements, does A have a relation with U through C?",Yes,A has a relation with U through C.,True
42,A U S.,U is a subproperty of R.,"Given the previous statements, does A have a relation with S through R?",Yes,A has a relation with S through R.,True
43,A P W.,P is a subproperty of E.,"Given the previous statements, does A have a relation with W through E?",Yes,A has a relation with W through E.,True
44,A K B.,K is a subproperty of Y.,"Given the previous statements, does A have a relation with B through Y?",Yes,A has a relation with B through Y.,True
45,A I F.,I is a subproperty of J.,"Given the previous statements, does A have a relation with F through J?",Yes,A has a relation with F through J.,True
46,A X S.,X is a subproperty of L.,"Given the previous statements, does A have a relation with S through L?",Yes,A has a relation with S through L.,True
47,A Z W.,Z is a subproperty of O.,"Given the previous statements, does A have a relation with W through O?",Yes,A has a relation with W through O.,True
48,A U B.,U is a subproperty of F.,"Given the previous statements, does A have a relation with B through F?",Yes,A has a relation with B through F.,True
49,A L T.,L is a subproperty of C.,"Given the previous statements, does A have a relation with T through C?",Yes,A has a relation with T through C.,True
50,A K X.,K is a subproperty of L.,"Given the previous statements, does A have a relation with X through L?",Yes,A has a relation with X through L.,True
51,A E D.,E is a subproperty of N.,"Given the previous statements, does A have a relation with D through N?",Yes,A has a relation with D through N.,True
52,A V Z.,V is a subproperty of K.,"Given the previous statements, does A have a relation with Z through K?",Yes,A has a relation with Z through K.,True
53,A T R.,T is a subproperty of U.,"Given the previous statements, does A have a relation with R through U?",Yes,A has a relation with R through U.,True
54,A X V.,X is a subproperty of J.,"Given the previous statements, does A have a relation with V through J?",Yes,A has a relation with V through J.,True
55,A G T.,G is a subproperty of R.,"Given the previous statements, does A have a relation with T through R?",Yes,A has a relation with T through R.,True
56,A S K.,S is a subproperty of L.,"Given the previous statements, does A have a relation with K through L?",Yes,A has a relation with K through L.,True
57,A L N.,L is a subproperty of M.,"Given the previous statements, does A have a relation with N through M?",Yes,A has a relation with N through M.,True
58,A N O.,N is a subproperty of X.,"Given the previous statements, does A have a relation with O through X?",Yes,A has a relation with O through X.,True
59,A D W.,D is a subproperty of G.,"Given the previous statements, does A have a relation with W through G?",Yes,A has a relation with W through G.,True
60,A W V.,W is a subproperty of L.,"Given the previous statements, does A have a relation with V through L?",Yes,A has a relation with V through L.,True
61,A S E.,S is a subproperty of L.,"Given the previous statements, does A have a relation with E through L?",Yes,A has a relation with E through L.,True
62,A Y W.,Y is a subproperty of X.,"Given the previous statements, does A have a relation with W through X?",Yes,A has a relation with W through X.,True
63,A S X.,S is a subproperty of H.,"Given the previous statements, does A have a relation with X through H?",Yes,A has a relation with X through H.,True
64,A U X.,U is a subproperty of F.,"Given the previous statements, does A have a relation with X through F?",Yes,A has a relation with X through F.,True
65,A N T.,N is a subproperty of E.,"Given the previous statements, does A have a relation with T through E?",Yes,A has a relation with T through E.,True
66,A O P.,O is a subproperty of E.,"Given the previous statements, does A have a relation with P through E?",Yes,A has a relation with P through E.,True
67,A D Q.,D is a subproperty of L.,"Given the previous statements, does A have a relation with Q through L?",Yes,A has a relation with Q through L.,True
68,A W Q.,W is a subproperty of O.,"Given the previous statements, does A have a relation with Q through O?",Yes,A has a relation with Q through O.,True
69,A R I.,R is a subproperty of Q.,"Given the previous statements, does A have a relation with I through Q?",Yes,A has a relation with I through Q.,True
70,A R B.,R is a subproperty of Z.,"Given the previous statements, does A have a relation with B through Z?",Yes,A has a relation with B through Z.,True
71,A F M.,F is a subproperty of W.,"Given the previous statements, does A have a relation with M through W?",Yes,A has a relation with M through W.,True
72,A L Z.,L is a subproperty of I.,"Given the previous statements, does A have a relation with Z through I?",Yes,A has a relation with Z through I.,True
73,A B C.,B is a subproperty of D.,"Given the previous statements, does A have a relation with C through D?",Yes,A has a relation with C through D.,True
74,A D U.,D is a subproperty of J.,"Given the previous statements, does A have a relation with U through J?",Yes,A has a relation with U through J.,True
75,A O K.,O is a subproperty of Z.,"Given the previous statements, does A have a relation with K through Z?",Yes,A has a relation with K through Z.,True
76,A D K.,D is a subproperty of X.,"Given the previous statements, does A have a relation with K through X?",Yes,A has a relation with K through X.,True
77,A B M.,B is a subproperty of L.,"Given the previous statements, does A have a relation with M through L?",Yes,A has a relation with M through L.,True
78,A Z O.,Z is a subproperty of Q.,"Given the previous statements, does A have a relation with O through Q?",Yes,A has a relation with O through Q.,True
79,A E P.,E is a subproperty of Y.,"Given the previous statements, does A have a relation with P through Y?",Yes,A has a relation with P through Y.,True
80,A D G.,D is a subproperty of C.,"Given the previous statements, does A have a relation with G through C?",Yes,A has a relation with G through C.,True
81,A Q P.,Q is a subproperty of Y.,"Given the previous statements, does A have a relation with P through Y?",Yes,A has a relation with P through Y.,True
82,A V Q.,V is a subproperty of Y.,"Given the previous statements, does A have a relation with Q through Y?",Yes,A has a relation with Q through Y.,True
83,A L J.,L is a subproperty of T.,"Given the previous statements, does A have a relation with J through T?",Yes,A has a relation with J through T.,True
84,A S C.,S is a subproperty of N.,"Given the previous statements, does A have a relation with C through N?",Yes,A has a relation with C through N.,True
85,A Q W.,Q is a subproperty of Y.,"Given the previous statements, does A have a relation with W through Y?",Yes,A has a relation with W through Y.,True
86,A X L.,X is a subproperty of K.,"Given the previous statements, does A have a relation with L through K?",Yes,A has a relation with L through K.,True
87,A Q L.,Q is a subproperty of B.,"Given the previous statements, does A have a relation with L through B?",Yes,A has a relation with L through B.,True
